Year,Month,Lake Level
1989,6,174.519
1989,7,174.514
1989,8,174.391
1989,9,174.304
1989,10,174.149
1989,11,174.032
1989,12,173.972
1990,1,173.948
1990,2,174.162
1990,3,174.298
1990,4,174.352
1990,5,174.41
1990,6,174.432
1990,7,174.405
1990,8,174.387
1990,9,174.371
1990,10,174.278
1990,11,174.196
1990,12,174.216
1991,1,174.396
1991,2,174.35
1991,3,174.424
1991,4,174.47
1991,5,174.531
1991,6,174.546
1991,7,174.448
1991,8,174.352
1991,9,174.242
1991,10,174.076
1991,11,174.005
1991,12,174.025
1992,1,174.097
1992,2,174.134
1992,3,174.239
1992,4,174.347
1992,5,174.434
1992,6,174.426
1992,7,174.48
1992,8,174.53
1992,9,174.522
1992,10,174.412
1992,11,174.435
1992,12,174.456
1993,1,174.599
1993,2,174.555
1993,3,174.564
1993,4,174.711
1993,5,174.68
1993,6,174.675
1993,7,174.662
1993,8,174.549
1993,9,174.437
1993,10,174.318
1993,11,174.258
1993,12,174.308
1994,1,174.22
1994,2,174.192
1994,3,174.294
1994,4,174.493
1994,5,174.556
1994,6,174.547
1994,7,174.603
1994,8,174.553
1994,9,174.437
1994,10,174.332
1994,11,174.252
1994,12,174.223
1995,1,174.255
1995,2,174.278
1995,3,174.304
1995,4,174.384
1995,5,174.438
1995,6,174.47
1995,7,174.445
1995,8,174.419
1995,9,174.269
1995,10,174.189
1995,11,174.139
1995,12,174.108
1996,1,174.056
1996,2,174.078
1996,3,174.182
1996,4,174.251
1996,5,174.451
1996,6,174.596
1996,7,174.641
1996,8,174.587
1996,9,174.552
1996,10,174.509
1996,11,174.45
1996,12,174.487
1997,1,174.496
1997,2,174.556
1997,3,174.812
1997,4,174.858
1997,5,174.861
1997,6,175.03
1997,7,174.986
1997,8,174.858
1997,9,174.771
1997,10,174.646
1997,11,174.529
1997,12,174.517
1998,1,174.636
1998,2,174.681
1998,3,174.767
1998,4,174.867
1998,5,174.892
1998,6,174.798
1998,7,174.731
1998,8,174.622
1998,9,174.483
1998,10,174.309
1998,11,174.137
1998,12,174.055
1999,1,174.005
1999,2,174.135
1999,3,174.209
1999,4,174.276
1999,5,174.309
1999,6,174.298
1999,7,174.252
1999,8,174.169
1999,9,174.074
1999,10,173.994
1999,11,173.937
1999,12,173.889
2000,1,173.857
2000,2,173.774
2000,3,173.854
2000,4,173.975
2000,5,174.098
2000,6,174.217
2000,7,174.286
2000,8,174.248
2000,9,174.122
2000,10,174.035
2000,11,173.922
2000,12,173.86
2001,1,173.773
2001,2,173.872
2001,3,173.981
2001,4,174.048
2001,5,174.07
2001,6,174.123
2001,7,174.065
2001,8,173.972
2001,9,173.865
2001,10,173.838
2001,11,173.827
2001,12,173.896
2002,1,173.873
2002,2,174.003
2002,3,174.053
2002,4,174.228
2002,5,174.327
2002,6,174.357
2002,7,174.266
2002,8,174.18
2002,9,174.066
2002,10,173.982
2002,11,173.879
2002,12,173.836
2003,1,173.844
2003,2,173.767
2003,3,173.808
2003,4,173.991
2003,5,174.113
2003,6,174.202
2003,7,174.221
2003,8,174.199
2003,9,174.073
2003,10,173.959
2003,11,173.899
2003,12,173.923
2004,1,173.974
2004,2,173.88
2004,3,173.99
2004,4,174.146
2004,5,174.249
2004,6,174.389
2004,7,174.37
2004,8,174.324
2004,9,174.274
2004,10,174.105
2004,11,174.038
2004,12,174.05
2005,1,174.267
2005,2,174.285
2005,3,174.323
2005,4,174.416
2005,5,174.426
2005,6,174.356
2005,7,174.259
2005,8,174.175
2005,9,174.105
2005,10,174.047
2005,11,173.92
2005,12,173.875
2006,1,173.998
2006,2,174.105
2006,3,174.148
2006,4,174.19
2006,5,174.23
2006,6,174.292
2006,7,174.313
2006,8,174.267
2006,9,174.179
2006,10,174.124
2006,11,174.135
2006,12,174.182
2007,1,174.329
2007,2,174.245
2007,3,174.287
2007,4,174.356
2007,5,174.38
2007,6,174.3
2007,7,174.189
2007,8,174.165
2007,9,174.111
2007,10,173.97
2007,11,173.839
2007,12,173.893
2008,1,173.956
2008,2,174.112
2008,3,174.286
2008,4,174.426
2008,5,174.386
2008,6,174.365
2008,7,174.389
2008,8,174.265
2008,9,174.149
2008,10,174.041
2008,11,173.969
2008,12,173.991
2009,1,174.075
2009,2,174.111
2009,3,174.339
2009,4,174.456
2009,5,174.491
2009,6,174.487
2009,7,174.462
2009,8,174.388
2009,9,174.277
2009,10,174.163
2009,11,174.102
2009,12,174.064
2010,1,174.03
2010,2,173.963
2010,3,174.003
2010,4,174.12
2010,5,174.244
2010,6,174.358
2010,7,174.314
2010,8,174.232
2010,9,174.07
2010,10,174.022
2010,11,173.927
2010,12,173.924
2011,1,173.873
2011,2,173.802
2011,3,174.061
2011,4,174.233
2011,5,174.493
2011,6,174.62
2011,7,174.517
2011,8,174.429
2011,9,174.341
2011,10,174.315
2011,11,174.251
2011,12,174.445
2012,1,174.431
2012,2,174.417
2012,3,174.402
2012,4,174.353
2012,5,174.31
2012,6,174.263
2012,7,174.178
2012,8,174.08
2012,9,173.984
2012,10,173.881
2012,11,173.901
2012,12,173.863
2013,1,173.867
2013,2,173.902
2013,3,173.955
2013,4,174.056
2013,5,174.133
2013,6,174.263
2013,7,174.39
2013,8,174.315
2013,9,174.202
2013,10,174.118
2013,11,174.015
2013,12,173.979
2014,1,174.028
2014,2,173.971
2014,3,174.017
2014,4,174.219
2014,5,174.384
2014,6,174.439
2014,7,174.4
2014,8,174.37
2014,9,174.31
2014,10,174.25
2014,11,174.15
2014,12,174.17
2015,1,174.16
2015,2,174.03
2015,3,173.99
2015,4,174.22
2015,5,174.31
2015,6,174.53
2015,7,174.74
2015,8,174.62
2015,9,174.5
2015,10,174.34
2015,11,174.22
2015,12,174.17
2016,1,174.23
2016,2,174.27
2016,3,174.41
2016,4,174.6
2016,5,174.65
2016,6,174.61
2016,7,174.54
2016,8,174.46
2016,9,174.39
