,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
40,2012-03-28,0.026,MILLIGRAM PER LITER,0.0056,MILLIGRAM PER LITER,,,,,0.019,MILLIGRAM PER LITER,0.48,MILLIGRAM PER LITER,3.2,MILLIGRAM PER LITER,3.06,MILLIGRAM PER LITER,24.2,MILLIGRAM PER LITER
41,2012-05-09,0.049,MILLIGRAM PER LITER,0.0005,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,0.53,MILLIGRAM PER LITER,2.98,MILLIGRAM PER LITER,3.28,MILLIGRAM PER LITER,23.9,MILLIGRAM PER LITER
42,2012-06-13,0.059,MILLIGRAM PER LITER,0.0121,MILLIGRAM PER LITER,,,,,0.044,MILLIGRAM PER LITER,0.55,MILLIGRAM PER LITER,4.13,MILLIGRAM PER LITER,4.4,MILLIGRAM PER LITER,26.1,MILLIGRAM PER LITER
43,2012-07-30,0.029,MILLIGRAM PER LITER,0.011,MILLIGRAM PER LITER,,,,,0.017,MILLIGRAM PER LITER,0.31,MILLIGRAM PER LITER,3.31,MILLIGRAM PER LITER,,,31.6,MILLIGRAM PER LITER
44,2012-08-27,0.038,MILLIGRAM PER LITER,0.0131,MILLIGRAM PER LITER,,,,,0.022,MILLIGRAM PER LITER,0.36,MILLIGRAM PER LITER,3.08,MILLIGRAM PER LITER,4.46,MILLIGRAM PER LITER,31.0,MILLIGRAM PER LITER
45,2012-10-22,0.08,MILLIGRAM PER LITER,0.0107,MILLIGRAM PER LITER,,,,,0.014,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,2.58,MILLIGRAM PER LITER,4.72,MILLIGRAM PER LITER,27.1,MILLIGRAM PER LITER
46,2012-11-13,0.023,MILLIGRAM PER LITER,0.0105,MILLIGRAM PER LITER,,,,,0.035,MILLIGRAM PER LITER,0.24,MILLIGRAM PER LITER,3.38,MILLIGRAM PER LITER,4.76,MILLIGRAM PER LITER,27.5,MILLIGRAM PER LITER
47,2011-03-22,0.0775,MILLIGRAM PER LITER,0.011,MILLIGRAM PER LITER,,,,,0.015,MILLIGRAM PER LITER,0.6,MILLIGRAM PER LITER,3.52,MILLIGRAM PER LITER,3.04,MILLIGRAM PER LITER,19.9,MILLIGRAM PER LITER
48,2011-04-27,0.045,MILLIGRAM PER LITER,0.0283,MILLIGRAM PER LITER,,,,,0.023,MILLIGRAM PER LITER,0.625,MILLIGRAM PER LITER,3.19,MILLIGRAM PER LITER,2.48,MILLIGRAM PER LITER,20.0,MILLIGRAM PER LITER
49,2011-06-28,0.053,MILLIGRAM PER LITER,0.0115,MILLIGRAM PER LITER,,,,,0.028,MILLIGRAM PER LITER,0.51,MILLIGRAM PER LITER,3.21,MILLIGRAM PER LITER,4.14,MILLIGRAM PER LITER,24.4,MILLIGRAM PER LITER
