Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"57","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","16GE19S41","P-ortho as P","Phosphorus, Orthophosphorus as P","1.88","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"58","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","5","Five Meter","surface water","INSITU_MEAS","routine field sample","16GE19S42","P-ortho as P","Phosphorus, Orthophosphorus as P","1.66","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"59","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","10.1","Ten Meter","surface water","INSITU_MEAS","routine field sample","16GE19S43","P-ortho as P","Phosphorus, Orthophosphorus as P","1.86","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"60","2016","April    ","Spring","Erie","ER1611","E78MM16","ER78M","21.9","42.1174","-81.249767","2016/04/06 01:54","GMT","22.4","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE19S51","P-ortho as P","Phosphorus, Orthophosphorus as P","2.51","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"61","2016","April    ","Spring","Erie","ER1611","E030M16","ER30","19.9","42.429767","-81.20455","2016/04/06 07:09","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE19S61","P-ortho as P","Phosphorus, Orthophosphorus as P","0.769","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"62","2016","April    ","Spring","Erie","ER1611","E030M16","ER30","19.9","42.429767","-81.20455","2016/04/06 07:09","GMT","10.6","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE19S63","P-ortho as P","Phosphorus, Orthophosphorus as P","1.37","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"63","2016","April    ","Spring","Erie","ER1611","E030M16","ER30","19.9","42.429767","-81.20455","2016/04/06 07:09","GMT","20.3","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE19S71","P-ortho as P","Phosphorus, Orthophosphorus as P","0.582","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"64","2016","April    ","Spring","Erie","ER1611","E031M16","ER31","21","42.253233","-81.10625","2016/04/06 05:24","GMT","2","Surface","surface water","INSITU_MEAS","routine field sample","16GE19S81","P-ortho as P","Phosphorus, Orthophosphorus as P","0.828","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"65","2016","April    ","Spring","Erie","ER1611","E031M16","ER31","21","42.253233","-81.10625","2016/04/06 05:24","GMT","11.2","Middle Depth","surface water","INSITU_MEAS","routine field sample","16GE19S83","P-ortho as P","Phosphorus, Orthophosphorus as P","1.45","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
"66","2016","April    ","Spring","Erie","ER1611","E031M16","ER31","21","42.253233","-81.10625","2016/04/06 05:24","GMT","21.4","Bottom Minus","surface water","INSITU_MEAS","routine field sample","16GE19S91","P-ortho as P","Phosphorus, Orthophosphorus as P","1.44","ug/l","Filtrate","LG215","Performance Check, failed","","","","","","","",
