Row,YEAR,MONTH,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"55","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","50","Fifty Meter","surface water","Individual","routine field sample","10GA11S27","O2diss","Oxygen, Dissolved","-3.70323","mg/l","Total/Bulk","LG301","",
"56","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","93.5","Bottom Minus 10","surface water","Individual","routine field sample","10GA11S30","O2diss","Oxygen, Dissolved","-3.72365","mg/l","Total/Bulk","LG301","",
"57","2010","April    ","Michigan","MI1011","M027M10","MI27M","107","43.6001","-86.91685","2010/04/02 17:32","EDT","101.8","Bottom Minus","surface water","Individual","routine field sample","10GA11S31","O2diss","Oxygen, Dissolved","-3.72815","mg/l","Total/Bulk","LG301","",
"58","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","1.6","Surface","surface water","Individual","routine field sample","10GA11S41","O2diss","Oxygen, Dissolved","-3.68523","mg/l","Total/Bulk","LG301","",
"59","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","77.6","Middle Depth","surface water","Individual","routine field sample","10GA11S43","O2diss","Oxygen, Dissolved","-3.72218","mg/l","Total/Bulk","LG301","",
"60","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","4.9","Five Meter","surface water","Individual","routine field sample","10GA11S4A","O2diss","Oxygen, Dissolved","-3.68743","mg/l","Total/Bulk","LG301","",
"61","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","9.8","Ten Meter","surface water","Individual","routine field sample","10GA11S4B","O2diss","Oxygen, Dissolved","-3.68943","mg/l","Total/Bulk","LG301","",
"62","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","20.3","Twenty Meter","surface water","Individual","routine field sample","10GA11S4C","O2diss","Oxygen, Dissolved","-3.6945","mg/l","Total/Bulk","LG301","",
"63","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","145.6","Bottom Minus 10","surface water","Individual","routine field sample","10GA11S50","O2diss","Oxygen, Dissolved","-3.74946","mg/l","Total/Bulk","LG301","",
"64","2010","April    ","Michigan","MI1011","M034M10","MI34","159.9","44.09005","-86.766667","2010/04/02 22:12","EDT","153.6","Bottom Minus","surface water","Individual","routine field sample","10GA11S51","O2diss","Oxygen, Dissolved","-3.75228","mg/l","Total/Bulk","LG301","",
"65","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","1.9","Surface","surface water","Individual","routine field sample","10GA11S61","O2diss","Oxygen, Dissolved","-3.65182","mg/l","Total/Bulk","LG301","",
"66","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","80.7","Middle Depth","surface water","Individual","routine field sample","10GA11S63","O2diss","Oxygen, Dissolved","-3.68983","mg/l","Total/Bulk","LG301","",
"67","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","4.9","Five Meter","surface water","Individual","routine field sample","10GA11S6A","O2diss","Oxygen, Dissolved","-3.65343","mg/l","Total/Bulk","LG301","",
"68","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","10","Ten Meter","surface water","Individual","routine field sample","10GA11S6B","O2diss","Oxygen, Dissolved","-3.65658","mg/l","Total/Bulk","LG301","",
"69","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","20","Twenty Meter","surface water","Individual","routine field sample","10GA11S6C","O2diss","Oxygen, Dissolved","-3.66079","mg/l","Total/Bulk","LG301","",
"70","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","151.3","Bottom Minus 10","surface water","Individual","routine field sample","10GA11S70","O2diss","Oxygen, Dissolved","-3.72122","mg/l","Total/Bulk","LG301","",
"71","2010","April    ","Michigan","MI1011","M032M10","MI32","164.2","44.140183","-87.233267","2010/04/03 02:10","EDT","159.4","Bottom Minus","surface water","Individual","routine field sample","10GA11S71","O2diss","Oxygen, Dissolved","-3.7234","mg/l","Total/Bulk","LG301","",
"72","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","2.1","Surface","surface water","Individual","routine field sample","10GA11S81","O2diss","Oxygen, Dissolved","-3.66145","mg/l","Total/Bulk","LG301","",
"73","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","83.4","Middle Depth","surface water","Individual","routine field sample","10GA11S83","O2diss","Oxygen, Dissolved","-3.70057","mg/l","Total/Bulk","LG301","",
"74","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","5","Five Meter","surface water","Individual","routine field sample","10GA11S8A","O2diss","Oxygen, Dissolved","-3.66288","mg/l","Total/Bulk","LG301","",
"75","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","10.1","Ten Meter","surface water","Individual","routine field sample","10GA11S8B","O2diss","Oxygen, Dissolved","-3.66582","mg/l","Total/Bulk","LG301","",
"76","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","19.9","Twenty Meter","surface water","Individual","routine field sample","10GA11S8C","O2diss","Oxygen, Dissolved","-3.67063","mg/l","Total/Bulk","LG301","",
"77","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","156.6","Bottom Minus 10","surface water","Individual","routine field sample","10GA11S90","O2diss","Oxygen, Dissolved","-3.73524","mg/l","Total/Bulk","LG301","",
"78","2010","April    ","Michigan","MI1011","M040M10","MI40","171.2","44.760017","-86.966833","2010/04/03 08:54","EDT","164.8","Bottom Minus","surface water","Individual","routine field sample","10GA11S91","O2diss","Oxygen, Dissolved","-3.73901","mg/l","Total/Bulk","LG301","",
