YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1996,1996,2016,2016,2017,2017
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.2,,,,,,,,,,,,,,,,,,,,,,,,,5.59,
-20.12,,2.5,,,,1.2,4.0,0.4,0.6,,1.05,,,0.4,,0.5,6.3,,,,,,,,,
-20.0,,,,,,,,,,,,,,,,,,,,,6.839999999999999,,5.22,,,
-19.81,,,,,2.5833333333333335,1.0,3.725,0.0,1.8,0.4,0.30000000000000004,,,0.4,0.8,,3.0,,6.4,,,,,,,
-19.51,,0.0,,,,,,0.1,,,,,,,4.0,,,,,,,,,,,
-19.2,3.0,,2.2,0.8,,2.1,,,,,,0.9,,0.0,,,,,7.9,,,,,,,
-19.0,,,,,,,,,,,,,,,,,,,,,,,,1.02,,
-18.9,3.0,,2.6,,,1.2,,,,1.0,1.1,0.8,,0.0,,,,,,,,,,,,
-18.59,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
-18.29,,,,,,,,0.1,,0.3,,0.3,,,,,,,,,,,,,,
-17.98,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
-17.68,,0.5,,,,,,,,,,,,,,,,,7.3,,,,,,,
-17.37,,4.0,,0.6,,0.3,,0.3,1.4,,,,,,,,,0.3,,,,,,,,
-17.07,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
-17.0,,,,,,,,,,,,,,,,,,,,,6.8,,,,,
-16.76,,,,,,1.2,,,,,,,,,,0.0,,,6.0,,,,,,,
-16.5,,,,,,,,,,,,,,,,,,,,,,,0.8290000000000001,,,
-16.46,,,,0.5,,,,,1.0,,,,,,,,,0.6,,,,,,,,
-16.3,,,,,,,,,,,,,,,,,,,,,,,,,2.19,
-16.15,,,,1.0,,,,0.2,,,0.35,,,0.4,0.30000000000000004,,,0.35,7.6,,,,,,,
-16.0,,,,,,,,,,,,,,,,,,,,,6.1,,,,,
-15.85,,,,0.3,,,,,1.3,0.5,,0.0,,0.0,,-0.2,2.35,0.3,,,,,,,,
-15.54,,,,,,0.7,,,,0.4,,,,,,0.5,,,,,,,,,,
-15.24,,,,,2.2,0.6499999999999999,,0.3,,,,,,,,,,,,,,,,,,
-14.94,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
-14.63,,,,,,1.0,,0.0,,,,,,,,1.9,,,,,,,,,,
-14.33,,,,,,,,,,,,,,0.0,,0.9,,0.6,,,,,,,,
-14.02,,,,0.3,,,,,,0.45,,,,0.2,,,,,,,,,,,,
-14.0,,,,,,,,,,,,,,,,,,,,,,,,1.19,,
-13.72,,,,,,,,,,0.0,,,,0.0,,0.5,,0.1,,,,,,,,
-13.41,,,,,,1.6,,-0.2,,0.8,,,,0.0,,,,,,,,,,,,
-13.11,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
-12.5,,,,,,,,,,,,0.4,,,,,,0.3,,,,,,,,
-12.19,,,,,,,,,,,,0.7,,,,,,,,,,,,,,
-11.89,,,,,,,,,,,,,,,,,,0.2,,,,,,,,
-11.58,,,,,,,,0.15,,,,0.3,,,,,,,,,,,,,,
-11.28,,,,,,,,,,,,,,,,0.2,,0.1,,,,,,,,
-10.97,,,,,,,,,,0.6,,,,0.15,,,,,,,,,,,,
-10.67,,0.0,,0.0,,,,,,,,,,,,,,0.4,,,,,,,,
-10.36,,,,,,,,,,0.2,,,,,1.4,,,,,,,,,,,
-10.1,,,,,,,,,,,,,,,,,,,,,,,,,5.385,
-10.06,3.5,0.5,2.4,0.5,4.0,1.0,4.5,,1.4,,1.05,,,0.0,,,2.9000000000000004,,,,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,6.4,,5.734999999999999,,,
-9.75,,,2.1,,3.9,,5.8,0.1,0.9,0.7,,-0.4,,,0.3,,,,6.8,,,,,,,
-9.45,,,,,,0.9,,,,,,,,,,,,,8.4,,,,,,,
-9.14,,,,,,4.1,,,,,,0.3,,,,0.5,,,,,,,,,,
-8.53,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,
-8.23,,,,,,0.8,,,,0.5,,,,,,-0.6,,,,,,,,,,
-7.92,,,,,,0.6,,,,0.4,,,,,,,,,,,,,,,,
-7.62,,1.0,,,,0.6,,0.03333333333333333,,0.1,,,,0.0,,0.3,,0.1,,,,,,,,
-7.32,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
-7.01,,,,0.0,,,,-0.1,,0.3,,0.6,,0.0,,,,,,,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,,,0.915,,
-6.5,,,,,,,,,,,,,,,,,,,,,,,,0.777,,
-6.4,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,
-6.1,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,,,0.6,,
-5.49,,,,,,,,,,,,0.4,,,,,,0.2,,,,,,,,
-5.2,,,,,,,,,,,,,,,,,,,,,,,,,5.73,
-5.18,,,,,,,4.8,,,,,-0.04999999999999999,,0.0,,0.3,2.6,0.34,6.9,,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,6.45,,6.4,,,
-4.88,,1.0,2.5,0.3333333333333333,3.45,0.7,5.9,0.2,1.3499999999999999,0.58,1.05,0.6,,0.08,3.1,0.3,3.3,0.4,8.8,,,,,,,
-4.57,,0.0,,,,,,,,,,,,,,1.6,,,,,,,,,,
-4.27,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
-3.9,,,,,,,,,,,,,,,,,,,,,,,,-0.0943,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,0.512,,
-2.2,,,,,,,,,,,,,,,,,,,,,,,,,5.25,
-2.1,,,,,,,,,,,,,,,,,,,,,,,3.7733333333333334,,5.29,
-2.0,,,,,,,,,,,,,,,,,,,,,,,4.16,0.7275,2.8049999999999997,
-1.5,,,,,,,,,,,,,,,,,,,,,7.1000000000000005,,,,,
-1.22,,,,,,,,,,,,,,1.25,,,,,,,,,,,,
-1.0,,,,,,,,,,,,,,,,,,,,,7.1000000000000005,,,,,
-0.91,2.1666666666666665,0.08333333333333333,3.725,0.44999999999999996,2.625,1.2,4.2375,0.012499999999999994,1.2083333333333335,0.38571428571428573,0.6375000000000001,0.15714285714285717,,0.06666666666666667,0.9125000000000001,0.875,3.25,0.35000000000000003,7.425,,,,,,,
-0.0,,,,,,,,,,,,,,,,,,,,,0.26666666666666666,,,,,
