-36.58,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.27,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.435,,,,,,,,,,,,,
-36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07333333333333,
-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26067835500000003,0.356932054,,,0.49,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
-35.97,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1109999999999998,,,,,,,,,,,0.39933333333333293
-35.66,,,,,,,,,,0.2,,,,,0.2,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576666666666667,,,
-35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,0.6,,,,,,,,,,,,0.810666666666667,,,,,,,
-35.36,,,,,,,,,,,,,0.8,,,,,0.75,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,
-35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,0.874666666666667,,,,,,,,,
-35.074,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.05,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.643852918,,0.08466666699999999,,0.26,0.54,,,,,,,0.141,,,,,,,,0.14,,0.61,,,,,,,,,,0.162,,,,
-34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,,,,
-34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,
-34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.397,,,,,0.128,,,,,,,,,,,,,,,,,,,,
-34.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.44,,,,,,,,,0.3,0.45,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,,,,,,,,,,,,,,
-34.14,,0.2,,,,,,,,,,0.75,0.75,,,,,1.55,,0.06,3.68,0.38,2.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.673333333,,,,,,,0.0827,,,,,1.093,0.21,,,,,,,,0.28,,,,,,,,,,,,,,
-33.83,,,,,,,,,,,0.6,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.53,1.9,0.3,,,0.8,,1.2,0.8,0.42,0.3,0.5,,,1.525,,1.42,0.27,0.79,,0.09,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,
-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346666666666667,,
-33.22,,,,,,0.4,1.5,,,0.4,,,,1.6,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22399999999999998,,,,,,,,
-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487577938,,,0.33,,,,,,0.43133333333333335,,,,,,,,,,,,,,,,,,,,,0.21600000000000003,,,,,,
-32.92,,,,,0.5,0.4,,,,,,,,,0.4,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.61,,,,,,,,,,0.9,,,,,,,0.25,,2.2,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,,,,,,,,3.98666666666667,,,,,
-32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.353,,,,,,,,,,,0.46799999999999997,,,,,,,,,,
-32.31,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316,,,,,,0.52,,,,,,,,,,,,0.9733333333333329
-32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,,,,,,,,,,,,,,,,
-32.0,2.4,,1.3,,,,,,0.22,,,,,,,,0.35,0.8,1.17,,,,,,1.1,,1.33,,,0.200666667,,0.36,,,,,,,,,,,,0.5870000000000001,,,,,,,,,,,,,,,,0.579333333333333,,1.16,4.23333333333333,
-31.955,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53109732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8320000000000001,,,,,2.6633333333333304,,,
-31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.313,,,,6.502999999999999,,3.50933333333333,,,,,,,,,
-31.7,,,,,,,,,0.3,,0.8,0.8333333333333334,,1.3,,,,,,0.135,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34613333333333296,,,,,,
-31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.153333333,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4355,,,,,4.126666667,,7.93,,,,,,,,,,,,,2.943333333333335,,,,
-31.39,,,,,,,,,1.0,0.4,0.6,0.3,1.15,2.1,,,,2.09,1.52,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6266666666666698,,,,,,,
-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,,
-31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,7.067,,,,,,,,,,,,,,,,,,,,,,,
-31.09,,,,,,,,,,,0.6,,,1.525,0.6,3.105,0.46,1.6400000000000001,2.73,0.15,,3.06,1.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,
-30.78,,,,,,,,,0.7,,,,1.6,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.269,,,,,,,0.374,,,,,,,,,,,,,,,,,,,,,,
-30.48,,0.4,,,,0.3,,,,0.5,,,0.9,,0.44999999999999996,0.47,,,1.78,0.08,2.4450000000000003,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3533333333333348,,,,,
-30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.18,,,,,,,1.6,,0.4,0.4,0.925,,,1.2,0.4,1.78,,,,,1.1,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4035000000000002,,0.6326666670000001,,5.85,,,,,,,,1.7280000000000002,,0.842666666666667,,,,,,,
-30.0,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,0.606680435,,,0.131333333,,0.39,1.39,,5.776,,0.359,,2.5556666666666668,,4.26,,,0.161,,0.303,,,2.26,,3.467,,2.1519999999999997,0.36700000000000005,,,,0.5296,,,0.953333333333333,,2.2,
-29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.87,2.0,0.3,2.1,2.7,0.5,0.6,,,0.3,,,1.15,,1.1,,1.315,0.41,,2.13,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.749000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.57,1.6,,,,,,,0.7,,,,,1.0,1.5,,,0.22,1.215,1.48,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,
-29.26,,0.6,,1.9,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.451,,,,,,,,,,,,,,,,,,,,0.18666666666666698,,,,,,
-28.65,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,0.886666666666667
-28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.056,,,,,,,,
-28.35,,,,,,,,,,,,,,,,,,2.97,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.04,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48248429000000004,,,,,,,,,0.4787,0.733,,,,,0.281,,,,,,,,,,0.555,,,,,,,,,,,,
-27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,
-27.43,,,,,,,,,0.6,0.38999999999999996,,,1.5,,,,0.3,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,,,,,,,,,,,,,,,,,,,,,,,,
-27.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3969999999999998,,,,,,,,,,,,
-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858666666666667,,,,,,,,
-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439,,,,,,,,,,,,1.1,,,,,,,,,,,,,,
-26.82,,,,,,,,,,,,,,,,,0.7,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.52,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.21,,,,,,,,,,,,,,,,,,,,0.24,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687609912,,,,,,,,,,,,,,,,0.401,,,,,,,,,,,,,,,,,,,,
-25.91,,,,,,,,,,0.25,,,,,0.4,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,
-25.3,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,
-25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7269999999999999,,,,,,,,,,,,,,,,,,,,,
-25.0,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,0.72338516,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.873333333333333,2.25666666666667,,,,
-24.99,,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,
-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5893333333333302,,,,,,,,7.4,
-24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.273333333,,,,,,,,,,,,1.168,,,,0.866666666666667,,,
-24.38,,,,,,,,,,,,,,,0.8,,,,,0.04,2.7,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,
-24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2.1069999999999998,3.8080000000000003,,,,,,,,,,,
-24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.08,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868888889,,1.1963333335,0.22,,,,,,0.42200000000000004,,2.42,2.3735,1.633,0.401,,,,,,,,,,3.221,,,,,,,1.4333333333333302,,,,,
-23.77,,,,,,,,,,0.4,,,,,,,,,,0.16,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
-23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8506666666666698,,,,,,,
-23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.933,,,,,,,,,,,,,
-23.47,,,,,,,,0.6,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,1.74
-23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5069999999999997,,,,,,,,,,,,,,,
-23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68422835,,,,0.32,,,,,,0.386,,,,,,0.82,,,,,,,,3.552,,,,,,,,,,1.7,,,
-23.16,,,,,,1.8,,,,,,1.63,,,,,,,,0.42000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,,,,,,,,,0.8320000000000001,,,,,,,,1.3933333333333302,2.08,
-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2081869200000002,,0.7,,1.07,,0.19,,3.602,0.4607,,,,,,,,,,,,,,,,,5.614,,,,,,,,,,4.1,
-22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,
-22.86,,,,,,,,,0.8,,1.0,1.2,,1.5,,,,2.43,2.01,0.16,,,1.5,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.378,,,,,,,,,,,
-22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,
-22.56,,,,,,,,,,,,,,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673333333,,,,,,,,,,,,,,,,0.254666666666667,,,
-22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,4.0,,0.773333333333333,,,,,,,
-22.25,,0.8,,,,,,,,,,,2.3,,,,,,,0.14,2.6,0.605,,,,,,,,,,,,,,,,,4.0465,,,,,,,,,,,,,,,,,,,,,,,,,
-22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7306665,,,,,,,,,,2.533,,7.5329999999999995,,,,,,,,,,,,,,0.933333333333333,,,,,,,,,
-22.057,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.055999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999999999999,,,0.5047681854999999,,0.88,,,,,2.7110000000000003,0.3147,,1.393,,,,1.3730000000000002,,,,,,,,,,,,,,,,,,2.98666666666667,,,,
-21.95,,,,,,1.5,,,,,,,,,,1.96,0.7,2.105,,,1.5,,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0269999999999997,,,,,,,,,,,,,,,
-21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.64,,,,2.2,,,1.7,,,,,,,1.6,,1.47,,,,,1.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.34,1.9,,,,0.5,,1.9,,,0.5,,,,1.725,0.8,2.18,,,1.09,0.37666666666666665,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.584,,,,,,,,,,
-21.034000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.03,,,1.4,,0.6,,,,,1.2,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601333333,,,,,5.117,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.051,,,,,,,,,,,,
-20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3969999999999998,,,,,,,,,,
-20.73,2.1,,,,,0.7,,,,2.0,,,,1.3,,,0.85,,1.72,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.42,,,,,,,2.1500000000000004,0.9,,2.4,,,,1.5,,,,2.22,3.08,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.272000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.12,,0.8,3.7,2.95,,,,,,0.8,0.9,1.7,1.8,1.7,,1.645,,2.43,,0.53,1.7,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,1.3435000000000001,,,,,,2.593,,,,,,,,,,1.6333333333333302,,,,,
-20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2799999999999998,0.475,0.687498951,0.950151878,0.75333333325,1.1120000002000001,0.92,0.34624999999999995,0.75,,5.877000000000001,,0.4908333333333333,1.433,2.7823333333333333,,3.3176666666666663,,,,0.6236666664999999,,3.6,,,,3.355,,2.227,,1.4240000000000002,,,1.5573333333333301,,,0.78,1.8533333333333302,2.45333333333333,1.9533333333333303
-19.99,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.917,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922666666666667,,,,,,,
-19.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.81,,,,,,,,,0.4166666666666667,1.0,0.5,1.1,1.5,1.2,1.3,1.46,,2.12,1.51,,1.5,,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.51,,1.4,,1.6,,,,,,,,,1.9,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.755,,,,,,,,,,
-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.2,2.2,,,,0.5,4.5,,,,0.9,,,,,,,,4.345,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.153,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.9,1.7,,,,0.6,,,,,1.0,,,,,0.8,0.49,0.49,3.22,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,
-18.59,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.29,,,,,,,,,,,,,4.2,,1.3,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,,,,,,,,,,,,,,,,,,,,3.97333333333333,,,,
-18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400223821,,1.1866666670000001,,,,,,1.8933,,,,,,1.5730000000000002,,,,,,,,2.75,,,,,,,,,,,,,,
-17.98,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,
-17.723,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.68,,3.0,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,
-17.37,,2.1,,,,1.3,,,,1.4,,,3.5,1.8,,,0.86,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
