-4.8,,,,,,,,,,,,,,,,0.12300000000000001,,,,,,,,,,,,,,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,,,,
-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,
-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,
-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253,,,,,,,,
-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19899999999999998,,,,,,,,
-3.1,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,0.188,,,,,,,,,,,,,,0.018000000000000002,,,,,,,,,
-2.8,,,,,,,,,,,,,,,,,,0.158,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,0.150076,,,,,,,,,,0.1965,,,,,,,,,0.20600000000000002,,,0.08700000000000001,,0.069,,0.062,
-2.4,,,,,,,,,,,,,,,,,,0.217,,,,,,,0.22,,,,,,,,,,
-2.3,,,,,,,,,,,,,,,,,,,,,,,,0.059000000000000004,,,,,,,,,,,
-2.2,,,,,,,,,,,,,,,,,,,,,,,,0.081,,0.044,,,,0.09300000000000001,,,,,0.233
-2.1,,,,,,,,,,,,,0.32,0.119,,,,,,,,,,,,,,,0.1525,,,0.10650000000000001,0.16966666666666666,,0.22
-2.0,0.178875,,,,,,,,,0.222983,,0.133,0.295,,,,,,0.2215,0.12833333333333333,0.19299999999999998,0.037333333333333336,0.15175,0.08800000000000001,,,,,0.17800000000000002,,0.1454,0.044,0.163,0.0575,0.219
-1.9,,,,,,,0.23870100000000002,,,,0.298,0.1255,0.303,,,,,,0.20800000000000002,0.107,0.19,0.018000000000000002,,0.083,0.242,,,,0.141,,,,,,
-1.8,,,,,,,,,,,,0.139,,,,0.122,,,0.209,,,,,,0.22699999999999998,,,0.06,,,,,,,
-1.7,,,,,,,,,,,,,,0.154,,0.1,,,,,,,,,0.23,,,,,,,,,,
-1.6,,,,,,,,,,,0.289,,,0.151,,0.107,,,,,,,,,,0.012,,,,,,,,,
-1.5,,,,,,,,,0.29939799999999994,,0.27825,,,,0.41100000000000003,,0.2392,,,,,,,,,,,,,,,,,,
-1.4,,,,,,,,,,,0.273,,,,,,,,,,,,,,,,,0.049,,,,,,,
-1.3630000000000002,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
-1.1,,,,0.147887,,0.17981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.048,,0.11800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,,0.059000000000000004,0.226289,0.13765433333333332,0.2670354,0.15574349999999998,0.254158125,0.18165375,0.325724,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9590000000000001,,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0,-0.022000000000000002,0.0774,0.18191799999999997,0.14477774999999998,0.21059899999999998,-0.001741,0.20230350000000002,0.1452958,0.25736783333333335,0.1802148,0.237,0.11843540000000001,0.2469808,0.11454499999999998,0.30233333333333334,,0.19036782,0.15625779999999997,0.17197959999999998,0.12175,0.1518318,0.033369666666666666,0.1395,-0.003068,-0.003628,0.017,-0.0007185,-0.00747,-0.00394,,0.002215,0.001465,,,
