YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2010,2010,2011,2011,2012,2012
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.29,,,,,,,,7.4,,8.0,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.98,,,,,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.68,,6.1,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.37,,7.5,,8.8,,9.4,,7.1,13.3,,,7.8,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.07,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.76,,,,,,7.7,,,,,,,,,,8.4,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.46,,,,9.0,,,,,13.3,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
-16.15,,,,7.8,,,,8.2,,,14.15,,,8.5,13.75,,,9.75,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.85,,,,7.2,,,,,13.2,7.7,,7.7,,8.0,,8.7,13.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.54,,,,,,8.1,,,,8.3,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,
-15.24,,,,,10.1,8.600000000000001,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.94,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.63,,,,,,8.5,,8.2,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.33,,,,,,,,,,,,,,8.2,,8.8,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.02,,,,8.3,,,,,,8.25,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.72,,,,,,,,,,8.4,,,,7.3,,8.5,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.41,,,,,,8.8,,9.399999999999999,,8.9,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.11,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.5,,,,,,,,,,,,8.3,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.19,,,,,,,,,,,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.89,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.58,,,,,,,,9.5,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.28,,,,,,,,,,,,,,,,8.2,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.97,,,,,,,,,,7.4,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.67,,8.1,,8.4,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
