Date,"00600 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, mg/l","00602 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, mg/l","00605 - Organic nitrogen, water, unfiltered, mg/l","00607 - Organic nitrogen, water, filtered, mg/l","00608 - Ammonia (NH3 + NH4+), water, filtered, mg/l as N","00613 - Nitrite, water, filtered, mg/l as N","00618 - Nitrate, water, filtered, mg/l as N","00623 - Ammonia plus organic nitrogen, water, filtered, mg/l as N","00625 - Ammonia plus organic nitrogen, water, unfiltered, mg/l as N","00631 - Nitrate plus nitrite, water, filtered, mg/l as N","00660 - Orthophosphate, water, filtered, mg/l asPO4","00665 - Phosphorus, water, unfiltered, mg/l as P","00666 - Phosphorus, water, filtered, mg/l as P","00671 - Orthophosphate, water, filtered, mg/l as P","00940 - Chloride, water, filtered, mg/l","00955 - Silica, water, filtered, mg/l",MonitoringLocationIdentifier
2000-11-30,4.6,4.4,,,,0.023,3.73,0.69,0.87,3.75,0.23,0.129,0.08900000000000001,0.07,56.8,5.33,USGS-04193500
2000-12-19,10.0,9.0,1.6,0.67,0.13,0.024,8.19,0.8,1.8,8.22,0.276,0.39,0.111,0.09,45.0,6.21,USGS-04193500
2001-01-31,6.2,5.7,1.1,0.62,0.31,0.027999999999999997,4.78,0.93,1.4,4.8,0.307,0.23,0.114,0.1,62.6,5.5,USGS-04193500
2001-02-27,7.3,6.0,2.1,0.77,0.21,0.022000000000000002,5.01,0.98,2.3,5.03,0.408,0.58,0.14400000000000002,0.13,31.5,5.79,USGS-04193500
2001-03-22,5.7,5.1,,,,0.022000000000000002,4.59,0.51,1.1,4.61,,0.105,0.013999999999999999,,58.3,2.69,USGS-04193500
2001-04-17,9.0,8.4,,,,0.08900000000000001,7.34,0.95,1.5,7.43,,0.25,0.105,,32.0,7.29,USGS-04193500
2001-05-22,14.0,13.0,1.7,0.96,0.17,0.192,11.5,1.1,1.9,11.7,0.285,0.3,0.122,0.09,,,USGS-04193500
2001-06-21,5.7,,0.93,,0.03,0.06,4.71,,0.96,4.77,,0.07400000000000001,0.022000000000000002,,35.2,4.5,USGS-04193500
2001-07-19,1.4,0.67,,,,0.005,0.018000000000000002,0.65,1.3,0.02,,0.115,0.019,,44.6,2.53,USGS-04193500
2001-08-30,,,,,,0.036000000000000004,0.263,,,0.3,,,,,79.0,0.8009999999999999,USGS-04193500
2001-09-19,1.3,0.8,,,,0.012,0.12,0.67,1.2,0.13,,0.111,0.023,,62.7,0.5720000000000001,USGS-04193500
2001-10-03,2.5,1.9,,,,0.021,1.36,0.53,1.1,1.39,,0.10300000000000001,0.019,,80.5,,USGS-04193500
2001-12-13,6.0,5.9,,,,0.02,5.07,0.77,0.86,5.09,0.205,0.14800000000000002,0.087,0.07,34.3,,USGS-04193500
2001-12-20,7.9,6.7,2.0,0.8,0.05,0.022000000000000002,5.88,0.84,2.0,5.91,0.285,0.49,0.13,0.09,20.7,,USGS-04193500
2002-02-25,6.2,,,,,0.02,5.21,,0.97,5.23,0.098,0.11800000000000001,,0.03,36.6,,USGS-04193500
2002-04-11,7.6,,,,,0.136,5.0,,2.4,5.13,0.055,0.57,,0.02,21.8,,USGS-04193500
