"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"123",2015-06-10,1.2374461863112,0.213049728706042,0.161,0.161,1,0.161,60425,6,162,2015.43984018265,1986,2015,0.369058013179681,-0.929406360483866,-2.20150190845287,0.484803661976908,0.124433404087384
"124",2015-06-23,6.54119151116447,1.87811933712629,0.2,0.2,1,0.2,60438,6,175,2015.475456621,1986,2015,0.153600113282488,-0.988133090833217,-1.72944551716433,0.497709951242581,0.200771482759237
"125",2015-07-30,0.62580230474777,-0.468720764871795,0.0785,0.0785,1,0.0785,60475,7,212,2015.57682648402,1987,2015,-0.464185693379068,-0.885737908222401,-2.200254542774,0.452811782698271,0.122734071128877
"126",2015-08-19,0.433247749440764,-0.836445544997113,0.072,0.072,1,0.072,60495,8,232,2015.63162100457,1988,2015,-0.735902858782846,-0.677087130608192,-2.3050840833739,0.438958157839576,0.109838744131271
"127",2015-09-08,0.798535067596701,-0.224976395451435,0.108,0.108,1,0.108,60515,9,252,2015.68641552511,1989,2015,-0.921250516580815,-0.388969774789226,-2.33307812893389,0.420655980009361,0.105969665307034
"128",2015-09-15,1.48663443435556,0.396514796202076,0.127,0.127,1,0.127,60522,9,259,2015.70559360731,1989,2015,-0.961327569551384,-0.275407523536356,-2.23228307737081,0.388162999500522,0.115677651753554
"129",2015-10-02,0.199067429971802,-1.61411166757293,0.058,0.058,1,0.058,60539,10,276,2015.75216894977,1990,2016,-0.999907141426186,0.0136274915121328,-2.52219670913823,0.406395372703636,0.0871941437057022
"130",2015-11-04,0.605980512289695,-0.500907451367697,0.086,0.086,1,0.086,60572,11,309,2015.84257990868,1991,2016,-0.83553160209735,0.549442391790655,-2.52108994823163,0.371756835248766,0.0861221728807781
"131",2015-12-01,1.54893149636665,0.437565336032433,0.06,0.06,1,0.06,60599,12,336,2015.91655251142,1992,2016,-0.500621035498378,0.865666551748727,-2.33323376150312,0.321439821596972,0.102123544091153
"132",2015-12-22,0.781544959775495,-0.246482600672398,0.167,0.167,1,0.167,60620,12,357,2015.97408675799,1992,2016,-0.162099282236224,0.986774453813282,-2.62695762287929,0.32771356828204,0.0762864815419962
"133",2016-01-05,2.61930828910266,0.962910271122877,0.123,0.123,1,0.123,60634,1,5,2016.01240892532,1993,2016,0.0778886078365732,0.996962067868823,-2.46061405153127,0.348346269200836,0.0907232613613813
