Date,code,"Silica, mg/L"
2012-03-29,0,2.62
2012-03-30,0,3.76
2012-03-31,0,3.72
2012-04-01,0,3.89
2012-04-02,0,2.53
2012-04-03,0,1.18
2012-04-04,0,0.91
2012-04-05,0,3.0
2012-04-06,0,3.5
2012-04-07,0,3.46
2012-04-08,0,2.96
2012-04-09,0,3.1966666666666668
2012-04-10,0,3.34
2012-04-11,0,3.45
2012-04-12,0,3.18
2012-04-13,0,2.54
2012-04-14,0,2.73
2012-04-15,0,2.85
2012-04-16,0,2.1233333333333335
2012-04-17,0,1.64
2012-04-18,0,1.22
2012-04-19,0,1.63
2012-04-20,0,1.78
2012-04-21,0,2.37
2012-04-22,0,2.9
2012-04-23,0,2.4600000000000004
2012-04-24,0,1.4
2012-04-25,0,0.42
2012-04-26,0,1.71
2012-04-27,0,2.14
2012-04-28,0,2.56
2012-04-29,0,1.84
2012-04-30,0,2.3233333333333337
2012-05-01,0,1.1
2012-05-02,0,0.72
2012-05-03,0,0.8
2012-05-04,0,3.09
2012-05-05,0,3.8333333333333335
2012-05-06,0,5.82
2012-05-07,0,5.306666666666667
2012-05-10,0,8.14
2012-05-11,0,7.92
2012-05-12,0,6.89
2012-05-13,0,6.1
2012-05-14,0,5.46
2012-05-21,0,1.0
2012-05-22,0,0.59
2012-05-23,0,1.46
2012-05-24,0,0.34
2012-05-25,0,0.96
2012-05-26,0,0.94
2012-05-27,0,0.43
2012-05-28,0,1.08
2012-05-29,0,1.8266666666666664
2012-05-30,0,6.1433333333333335
2012-05-31,0,7.305
2012-06-01,0,5.68
2012-06-02,0,6.83
2012-06-03,0,6.46
2012-06-04,0,6.213333333333334
2012-06-05,0,4.94
2012-06-06,0,4.34
2012-06-07,0,3.38
2012-06-08,0,2.16
2012-06-09,0,1.22
2012-06-10,0,0.99
2012-06-11,0,1.2133333333333334
2012-06-12,0,1.54
2012-06-13,0,0.82
2012-06-14,0,0.9
2012-06-15,0,1.02
2012-06-16,0,1.68
2012-06-17,0,2.15
2012-06-18,0,2.33
2012-06-19,0,3.9766666666666666
2012-06-20,0,5.8
2012-06-21,0,6.14
2012-06-22,0,6.63
2012-06-23,0,5.8
2012-06-24,0,4.8
2012-06-25,0,5.24
2012-06-26,0,5.44
2012-06-27,0,4.64
2012-06-28,0,3.44
2012-06-29,0,1.81
2012-06-30,0,2.25
2012-07-01,0,2.76
2012-07-02,0,3.4333333333333336
2012-07-03,0,4.99
2012-07-04,0,4.84
2012-07-05,0,4.78
2012-07-06,0,4.67
2012-07-07,0,4.37
2012-07-08,0,3.75
2012-07-09,0,3.9966666666666666
2012-07-10,0,4.93
2012-07-11,0,3.87
2012-07-12,0,2.9
2012-07-13,0,3.23
2012-07-14,0,1.59
2012-07-15,0,1.34
2012-07-16,0,1.3133333333333332
2012-07-17,0,1.38
2012-07-18,0,1.9
2012-07-19,0,2.24
2012-07-20,0,4.035
2012-07-21,0,5.375
2012-07-22,0,4.9
2012-07-23,0,5.079999999999999
2012-07-24,0,4.6
2012-07-25,0,4.23
2012-07-26,0,3.88
2012-07-27,0,2.69
2012-07-28,0,2.57
2012-07-29,0,2.21
2012-07-30,0,2.823333333333333
2012-07-31,0,2.65
2012-08-01,0,3.04
2012-08-02,0,3.07
2012-08-03,0,4.0
2012-08-04,0,3.2
2012-08-05,0,3.36
2012-08-06,0,4.713333333333334
2012-08-07,0,4.32
2012-08-08,0,3.96
2012-08-09,0,4.21
2012-08-10,0,6.01
2012-08-11,0,5.61
2012-08-12,0,6.62
2012-08-13,0,6.633333333333333
2012-08-14,0,6.47
2012-08-15,0,6.33
2012-08-16,0,5.81
2012-08-17,0,5.61
2012-08-18,0,5.15
2012-08-19,0,4.56
2012-08-20,0,4.533333333333333
2012-08-21,0,5.36
2012-08-22,0,2.56
2012-08-23,0,3.36
2012-08-27,0,1.83
2012-08-28,0,4.63
2012-08-29,0,4.71
2012-08-30,0,4.02
2012-08-31,0,4.88
2012-09-01,0,3.28
2012-09-02,0,3.55
2012-09-03,0,3.266666666666667
2012-09-04,0,3.41
2012-09-05,0,5.1
2012-09-06,0,5.56
2012-09-08,0,6.27
2012-09-09,0,5.82
2012-09-10,0,6.4275
2012-09-11,0,6.220000000000001
2012-09-12,0,6.13
2012-09-13,0,5.88
2012-09-14,0,5.87
2012-09-15,0,5.52
2012-09-16,0,4.64
2012-09-17,0,3.9500000000000006
2012-09-18,0,5.31
2012-09-19,0,5.75
2012-09-20,0,5.13
2012-09-21,0,5.02
2012-09-22,0,5.61
2012-09-23,0,5.09
2012-09-24,0,4.615
2012-09-25,0,4.58
2012-09-26,0,5.58
2012-09-27,0,5.94
2012-09-28,0,6.04
2012-09-29,0,5.59
2012-09-30,0,5.25
2012-10-01,0,4.8933333333333335
2012-10-02,0,4.35
2012-10-03,0,5.39
2012-10-04,0,4.56
2012-10-05,0,5.75
2012-10-06,0,6.73
2012-10-07,0,6.683333333333334
2012-10-08,0,7.55
2012-10-09,0,7.53
2012-10-10,0,6.91
2012-10-11,0,6.67
2012-10-12,0,6.19
2012-10-13,0,6.35
2012-10-14,0,5.9
2012-10-15,0,5.419999999999999
2012-10-16,0,4.44
2012-10-17,0,4.01
2012-10-18,0,5.3
2012-10-19,0,5.53
2012-10-20,0,5.92
2012-10-21,0,4.81
2012-10-22,0,3.6933333333333334
2012-10-23,0,4.0
2012-10-24,0,3.88
2012-10-25,0,4.83
2012-10-26,0,3.06
2012-10-27,0,4.77
2012-10-28,0,4.23
2012-10-29,0,4.72
2012-10-30,0,6.06
2012-10-31,0,7.29
2012-11-01,0,7.0633333333333335
2012-11-02,0,8.41
2012-11-03,0,7.91
2012-11-04,0,7.635
2012-11-05,0,6.76
2012-11-06,0,6.38
2012-11-12,0,4.59
2012-11-16,0,7.03
2012-11-17,0,6.74
2012-11-18,0,6.12
2012-11-19,0,5.609999999999999
2012-11-20,0,5.46
2012-11-21,0,4.61
2012-11-22,0,5.7
2012-11-23,0,5.06
2012-11-24,0,5.19
2012-11-25,0,5.21
2012-11-26,0,3.9899999999999998
2012-11-27,0,5.44
2012-11-28,0,5.17
2012-11-29,0,5.09
2012-11-30,0,3.77
2012-12-01,0,5.8
2012-12-02,0,4.82
2012-12-03,0,4.833333333333333
2012-12-04,0,5.21
2012-12-05,0,5.89
2012-12-06,0,5.87
2012-12-07,0,6.03
2012-12-08,0,5.94
2012-12-09,0,5.91
2012-12-10,0,5.8725000000000005
2012-12-11,0,7.206666666666667
2012-12-12,0,7.8500000000000005
2012-12-13,0,7.855
2012-12-15,0,7.52
2012-12-16,0,7.08
2012-12-17,0,6.710000000000001
2012-12-18,0,6.52
2012-12-19,0,6.29
2012-12-20,0,5.06
2012-12-21,0,6.51
2012-12-22,0,7.5
2012-12-23,0,7.7
2012-12-24,0,7.9
2012-12-25,0,7.73
2012-12-26,0,7.69
2012-12-27,0,7.45
2012-12-28,0,7.44
2012-12-29,0,7.02
2012-12-30,0,6.99
2012-12-31,0,6.63
2013-01-01,0,6.46
2013-01-02,0,6.71
2013-01-03,0,6.7
2013-01-04,0,6.58
2013-01-05,0,6.6
2013-01-06,0,6.55
2013-01-07,0,6.43
2013-01-08,0,6.19
2013-01-09,0,5.895
2013-01-10,0,5.663333333333334
2013-01-11,0,5.916666666666667
2013-01-12,0,5.99
2013-01-16,0,7.245
2013-01-17,0,7.5649999999999995
2013-01-18,0,7.57
2013-01-19,0,7.24
2013-01-20,0,7.4
2013-01-21,0,7.5475
2013-01-22,0,7.77
2013-01-28,0,6.29
2013-01-29,0,6.21
2013-01-30,0,6.413333333333334
2013-01-31,0,6.963333333333334
2013-02-01,0,7.33
2013-02-02,0,7.8
2013-02-04,0,7.484999999999999
2013-02-05,0,7.1
2013-02-06,0,6.7
2013-02-07,0,6.47
2013-02-08,0,6.08
2013-02-09,0,5.97
2013-02-10,0,6.0
2013-02-11,0,5.763333333333333
2013-02-12,0,5.5
2013-02-13,0,6.08
2013-02-14,0,5.93
2013-02-15,0,5.84
2013-02-16,0,5.54
2013-02-17,0,5.52
2013-02-18,0,5.363333333333333
2013-02-19,0,5.29
2013-02-20,0,4.67
2013-02-21,0,4.79
2013-02-22,0,4.49
2013-02-23,0,4.82
2013-02-24,0,4.54
2013-02-25,0,4.295
2013-03-04,0,6.755000000000001
2013-03-05,0,6.47
2013-03-06,0,5.61
2013-03-07,0,4.93
2013-03-08,0,4.36
2013-03-09,0,4.26
2013-03-10,0,4.25
2013-03-11,0,4.116666666666667
2013-03-12,0,5.324999999999999
2013-03-13,0,6.303333333333334
