YYYY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
yy,mm,dd,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2005,7,5,238.1375,2.303333333,2.897457627,NAN,NAN,NAN,NAN,1014.452941,22.93781513,23.35378151,NAN,NAN,NAN
2005,7,6,84.04090909,3.603636364,4.6,NAN,NAN,NAN,NAN,1017.412,21.203,23.77,NAN,NAN,NAN
2005,7,7,33.32407407,4.209259259,5.492592593,NAN,NAN,NAN,NAN,1018.226667,22.328,24.55333333,NAN,NAN,NAN
2005,7,8,84.8649789,3.607172996,4.542194093,NAN,NAN,NAN,NAN,1017.963483,22.75842697,24.36123596,NAN,NAN,NAN
2005,7,9,245.5416667,1.67875,2.21787234,NAN,NAN,NAN,NAN,1019.857609,23.29782609,24.90326087,NAN,NAN,NAN
2005,7,10,158.175,1.410416667,1.925,NAN,NAN,NAN,NAN,1021.587273,24.35545455,24.92272727,NAN,NAN,NAN
2005,7,11,110.4125,1.698333333,2.326126126,NAN,NAN,NAN,NAN,1019.730081,24.75609756,24.13414634,NAN,NAN,NAN
2005,7,12,76.1125,3.335,4.66,NAN,NAN,NAN,NAN,1016.260305,25.68396947,23.41374046,NAN,NAN,NAN
2005,7,13,115.1416667,2.040833333,2.857692308,NAN,NAN,NAN,NAN,1013.763636,25.35041322,24.33471074,NAN,NAN,NAN
2005,7,14,211.2583333,2.042916667,2.695299145,NAN,NAN,NAN,NAN,1013.173984,24.99674797,25.73495935,NAN,NAN,NAN
2005,7,15,58.38028169,2.663380282,3.471563981,NAN,NAN,NAN,NAN,1014.725,25.30441176,26.89117647,NAN,NAN,NAN
2005,7,16,185.4360902,1.860902256,3.018181818,NAN,NAN,NAN,NAN,1015.010638,25.63829787,26.9106383,NAN,NAN,NAN
2005,7,17,217.45,1.810833333,3.132067511,NAN,NAN,NAN,NAN,1014.948387,25.21451613,26.65967742,NAN,NAN,NAN
2005,7,18,203.3938053,2.488495575,4.652654867,NAN,NAN,NAN,NAN,1014.119048,26.73095238,26.27619048,NAN,NAN,NAN
2005,7,19,254.0092166,3.440092166,4.768663594,NAN,NAN,NAN,NAN,1016.532584,25.89325843,25.67078652,NAN,NAN,NAN
2005,7,20,189.4449153,2.018644068,2.988559322,NAN,NAN,NAN,NAN,1018.133333,26.14479167,26.48229167,NAN,NAN,NAN
2005,7,21,229.9240506,2.348523207,3.272033898,NAN,NAN,NAN,NAN,1016.841237,24.99278351,26.79381443,NAN,NAN,NAN
2005,7,22,256.4145299,2.138888889,2.794017094,NAN,NAN,NAN,NAN,1017.307143,25.67959184,27.89183673,NAN,NAN,NAN
2005,7,23,39.01702128,3.529787234,4.539316239,NAN,NAN,NAN,NAN,1021.291379,24.53448276,27.66264368,NAN,NAN,NAN
2005,7,24,157.4788136,2.629661017,4.530084746,NAN,NAN,NAN,NAN,1017.731395,25.10813953,26.43953488,NAN,NAN,NAN
2005,7,25,224.9401709,2.735042735,4.447368421,NAN,NAN,NAN,NAN,1013.823684,27.92105263,25.24078947,NAN,NAN,NAN
2005,7,26,200.4248927,2.990987124,5.450431034,NAN,NAN,NAN,NAN,1011.32,27.15142857,26.06,NAN,NAN,NAN
2005,7,27,270.3888889,4.281196581,5.515021459,NAN,NAN,NAN,NAN,1013.545614,20.85438596,24.56403509,NAN,NAN,NAN
2005,7,28,42.2742616,3.484388186,4.508474576,NAN,NAN,NAN,NAN,1019.300714,21.10071429,25.43714286,NAN,NAN,NAN
2005,7,29,199.916318,1.859414226,2.608368201,NAN,NAN,NAN,NAN,1021.610577,22.6875,25.86057692,NAN,NAN,NAN
2005,7,30,57.83333333,3.311111111,4.356277056,NAN,NAN,NAN,NAN,1024.550943,22.65377358,25.67358491,NAN,NAN,NAN
2005,7,31,78.30932203,1.752966102,2.465384615,NAN,NAN,NAN,NAN,1023.852991,23.63247863,25.94444444,NAN,NAN,NAN
2005,8,1,214.9915612,1.908860759,2.677682403,NAN,NAN,NAN,NAN,1020.838636,25.38068182,26.42840909,NAN,NAN,NAN
2005,8,2,219.2913043,1.926086957,2.813973799,NAN,NAN,NAN,NAN,1019.922353,27.33294118,27.12117647,NAN,NAN,NAN
2005,8,3,191.7288136,1.843644068,2.891525424,NAN,NAN,NAN,NAN,1018.420879,27.48681319,27.43956044,NAN,NAN,NAN
2005,8,4,201.6875,2.237053571,4.021973094,NAN,NAN,NAN,NAN,1017.658824,26.81323529,27.17058824,NAN,NAN,NAN
2005,8,5,112.7668161,3.258744395,4.478828829,NAN,NAN,NAN,NAN,1020.926606,24.83394495,25.97155963,NAN,NAN,NAN
2005,8,6,102.3733333,2.165777778,3.286222222,NAN,NAN,NAN,NAN,1022.147826,24.38152174,25.09347826,NAN,NAN,NAN
2005,8,7,138.245614,1.536403509,2.172888889,NAN,NAN,NAN,NAN,1020.587255,24.53039216,24.78823529,NAN,NAN,NAN
2005,8,8,121.2835821,1.605970149,2.320603015,NAN,NAN,NAN,NAN,1020.225581,24.71976744,24.57790698,NAN,NAN,NAN
2005,8,9,162.8797814,2.218032787,3.45,NAN,NAN,NAN,NAN,1018.198,25.996,24.932,NAN,NAN,NAN
2005,8,10,190.8539823,2.079111111,3.500888889,NAN,NAN,NAN,NAN,1015.7,25.33835616,24.81232877,NAN,NAN,NAN
2005,8,11,109.4763948,3.429184549,4.427155172,NAN,NAN,NAN,NAN,1017.203896,24.55454545,25.14935065,NAN,NAN,NAN
2005,8,12,170.9384615,2.676923077,4.727179487,NAN,NAN,NAN,NAN,1014.498305,25.78305085,25.13050847,NAN,NAN,NAN
2005,8,13,110.631068,2.598058252,3.473170732,NAN,NAN,NAN,NAN,1014.004386,24.45526316,25.77982456,NAN,NAN,NAN
2005,8,14,95.62857143,3.436190476,4.55625,NAN,NAN,NAN,NAN,1015.666197,22.15633803,25.13239437,NAN,NAN,NAN
2005,8,15,54.1372549,3.432843137,4.594117647,NAN,NAN,NAN,NAN,1020.94965,22.88181818,24.91958042,NAN,NAN,NAN
2005,8,16,108.9009434,1.76745283,2.527142857,NAN,NAN,NAN,NAN,1020.276404,23.11685393,25.08426966,NAN,NAN,NAN
