#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2015,3,30,241.4511628,6.450462963,10.13796296,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,3,31,152.7723214,3.298214286,4.172321429,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,1,149.0958333,2.224583333,3.0475,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,2,186.6916667,3.815,6.4725,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,3,234.8565217,2.586956522,3.943478261,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,4,251.1762115,5.180263158,7.105263158,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,5,143.9910714,3.193362832,4.659292035,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,6,97.43589744,2.181355932,2.83559322,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,7,66.16309013,5.343347639,6.460944206,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,8,80.61016949,5.455648536,7.018828452,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,9,84.06493506,3.010344828,4.060775862,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,10,208.5022831,6.139316239,11.08205128,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,11,249.9166667,4.749583333,7.113333333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,12,201.0294118,2.349159664,3.269327731,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,13,176.9078947,3.807792208,6.486580087,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,14,214.3495575,2.261946903,3.157079646,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,15,152.2565217,1.68173913,2.223043478,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,16,144.5608696,3.040434783,4.943478261,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,17,236.5304348,3.277826087,5.104347826,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,18,219.489083,3.369432314,4.821834061,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,19,75.47413793,5.904310345,7.465948276,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,20,186.0530973,5.45125,10.67708333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,21,241.1134454,6.212184874,9.810504202,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,22,242.5917431,5.38558952,8.826754386,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,23,287.9656863,7.734070796,10.64734513,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,24,281.0309735,6.250442478,7.961946903,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,25,106.8027523,3.672018349,4.390825688,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,26,97.91189427,3.699559471,4.536563877,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,27,281.1964286,3.268303571,4.361607143,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,4,28,256.0096154,3.622596154,5.108173077,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
