Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type,Depth,Depth Units,Sample Time
,,,,,,Total Total Suspended Solids,22,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Conductivity (Lab),689,umhos/cm      ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),5.2,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.073,mg P/L        ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,7/25/2012,Actual,,,
,,,,,,Total Total Alkalinity,233,mg CaCO3/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Calcium,78.8,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Nitrate,0.001,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.003,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Sodium,35.6,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Sulfate,68,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total pH (Lab),8.15,pH,WCMP,7/25/2007,Actual,,,
,,,,,,Total Temperature of Water,24.6,C,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.54,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Nitrite,0.002,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Organic Carbon,6.7,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Turbidity,16,NTU,WCMP,7/25/2007,Actual,,,
,,,,,,Total Conductivity (Field),762,umhos/cm,WCMP,7/25/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.3,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,326,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Ammonia,0.007,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Magnesium,31.4,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Suspended Solids,17,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Conductivity (Lab),747,umhos/cm,WCMP,7/25/2007,Actual,,,
,,,,,,Total pH (Field),8,pH,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,490,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.051,mg/L,WCMP,7/25/2007,Actual,,,
,,,,,,Total Temperature of Water,25.4,° C           ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Alkalinity,175,mg CaCO3/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Dissolved Solids,400,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Organic Carbon,6.4,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.013,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Suspended Solids,32,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Turbidity                               ,29,NTU           ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.6,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Ammonia,0.029,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Calcium,64.7,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.77,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Conductivity (Lab),622,umhos/cm      ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),6.1,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Hardness Ca2CO3,255,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.08,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Sulfate,61,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Chloride                                ,52,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Conductivity (Field),602,umhos/cm      ,WCMP,7/19/2010,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,7/19/2010,Actual,,,
,,,,,,Total pH (Lab),8.14,pH            ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Magnesium,22.7,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Nitrate,0.58,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Nitrite,0.016,mg/L,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Potassium,4.4,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Total Sodium,26.8,mg/L          ,WCMP,7/19/2010,Actual,,,
,,,,,,Total Conductivity (Field),346,umhos/cm,WCMP,7/13/2006,Actual,,,
,,,,,,Total Conductivity (Lab),732,umhos/cm,WCMP,7/13/2006,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.1,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Nitrate,0.44,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Alkalinity,215,mg CaCO3/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Ammonia,0.011,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.8,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.017,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total pH (Lab),8.15,pH,WCMP,7/13/2006,Actual,,,
,,,,,,Total Temperature of Water,23.8,C,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Nitrite,0.014,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Phosphorus,0.064,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Sodium,28.8,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Turbidity,23,NTU,WCMP,7/13/2006,Actual,,,
,,,,,,Total Hardness Ca2CO3,301,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Calcium,72.9,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Magnesium,28.8,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Organic Carbon,6.6,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Potassium,3.8,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Sulfate,72,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Total Suspended Solids,27,mg/L,WCMP,7/13/2006,Actual,,,
,,,,,,Total Chloride,34.69693,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Conductivity (Field),594,umhos/cm,WCMP,6/3/2013,Actual,,,
,,,,,,Total Nitrate + Nitrite,10.1346,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total pH (Lab),8.03,pH,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,2.008,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Organic Carbon,14,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Sulfate,46.63896,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total pH (Field),8,pH,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Magnesium,22.53,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Conductivity (Lab),642,umhos/cm,WCMP,6/3/2013,Actual,,,
,,,,,,Total Temperature of Water,20.3,° C,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Alkalinity,132.1421,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Calcium,82.54,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Dissolved Solids,400,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Nitrite,0.246638,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Potassium,6.455,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Suspended Solids,49,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Turbidity,72,NTU,WCMP,6/3/2013,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.3,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Ammonia,0.222206,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.125971,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Phosphorus,0.2327,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Total Sodium,11.53,mg/L,WCMP,6/3/2013,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),5.3,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total pH (Lab),8.05,pH,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.056,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Suspended Solids,32,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Conductivity (Lab),428,umhos/cm,WCMP,6/28/2007,Actual,,,
,,,,,,Total Temperature of Water,24.3,C,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Alkalinity,132,mg CaCO3/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Calcium,46.5,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.48,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Magnesium,16.1,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Sulfate,39,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Conductivity (Field),659,umhos/cm,WCMP,6/28/2007,Actual,,,
,,,,,,Total pH (Field),7.9,pH,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Ammonia,0.026,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Nitrate,0.21,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Sodium,16.5,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,183,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,280,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Nitrite,0.005,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Organic Carbon,4.8,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.002,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Total Potassium,2,mg/L,WCMP,6/28/2007,Actual,,,
,,,,,,Total Turbidity,24,NTU,WCMP,6/28/2007,Actual,,,
,,,,,,Total Chloride                                ,51,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.8,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Nitrite,0.015,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Organic Carbon,9.4,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.009,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Potassium,3.2,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Sodium,26.3,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Hardness Ca2CO3,347,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total pH (Lab),8.33,pH            ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Alkalinity,260,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Nitrate,1.11,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Sulfate,49,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Turbidity                               ,9.5,NTU           ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Conductivity (Lab),746,umhos/cm      ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,1.13,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total pH (Field),8.4,pH            ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Temperature of Water,25.3,° C           ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Ammonia,0.003,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.84,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Magnesium,28.5,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Suspended Solids,14,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Conductivity (Field),747,umhos/cm      ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Calcium,92,mg/L          ,WCMP,6/20/2011,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.047,mg/L,WCMP,6/20/2011,Actual,,,
,,,,,,Total Hardness Ca2CO3,345,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Alkalinity,240,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.94,mg N/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Nitrate,0.98,mg N/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.069,mg P/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Sodium,24,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Chloride                                ,51,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Conductivity (Lab),770,umhos/cm      ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Nitrite,0.021,mg N/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Sulfate,81,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Suspended Solids,26,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total pH (Field),8,pH            ,WCMP,6/19/2012,Actual,,,
,,,,,,Total pH (Lab),8.15,pH            ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Ammonia,0.005,mg N/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Calcium,87,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Organic Carbon,7.8,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.013,mg P/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Conductivity (Field),758,umhos/cm      ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),5.8,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,1,mg N/L        ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Temperature of Water,24.1,° C           ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,500,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Magnesium,31,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Total Potassium,3.9,mg/L          ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Turbidity,23.7,NTU           ,WCMP,6/19/2012,Actual,,,
,,,,,,Total Conductivity (Lab),712,umhos/cm,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.004,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Phosphorus,0.068,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Sodium,19.4,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Turbidity,21,NTU,WCMP,6/17/2008,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.3,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Hardness Ca2CO3,309,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total pH (Lab),8.25,pH,WCMP,6/17/2008,Actual,,,
,,,,,,Total Temperature of Water,23,C,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Calcium,81.2,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Dissolved Solids,460,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.11,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Magnesium,25.8,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Suspended Solids,24,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Conductivity (Field),698,umhos/cm,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Alkalinity,216,mg CaCO3/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Nitrate,6.8,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Potassium,4.4,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Sulfate,52,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total pH (Field),8.3,pH,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Nitrite,0.124,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Total Organic Carbon,10,mg/L,WCMP,6/17/2008,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.7,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total pH (Lab),8.24,pH,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Alkalinity,227,mg CaCO3/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Potassium,4,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Hardness Ca2CO3,332,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Magnesium,26.7,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Nitrite,0.082,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.007,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Sodium,18.6,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Suspended Solids,18,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Conductivity (Field),654,umhos/cm,WCMP,6/15/2009,Actual,,,
,,,,,,Total Conductivity (Lab),697,umhos/cm,WCMP,6/15/2009,Actual,,,
,,,,,,Total pH (Field),7.8,pH,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Dissolved Solids,450,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,1.11,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Nitrate,5.8,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Organic Carbon,9.1,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Turbidity,18,NTU,WCMP,6/15/2009,Actual,,,
,,,,,,Total Temperature of Water,20.2,C,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Calcium,89,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Phosphorus,0.071,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Total Sulfate,70,mg/L,WCMP,6/15/2009,Actual,,,
,,,,,,Total Conductivity (Field),776,umhos/cm,WCMP,6/12/2007,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.5,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Hardness Ca2CO3,333,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Alkalinity,265,mg CaCO3/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Dissolved Solids,490,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Sodium,30.5,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Sulfate,69,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Potassium,3.1,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Suspended Solids,22,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total pH (Field),8.5,pH,WCMP,6/12/2007,Actual,,,
,,,,,,Total Temperature of Water,22.8,C,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Ammonia,0.02,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.98,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Nitrite,0.014,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Organic Carbon,9.1,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Turbidity,19,NTU,WCMP,6/12/2007,Actual,,,
,,,,,,Total Conductivity (Lab),760,umhos/cm,WCMP,6/12/2007,Actual,,,
,,,,,,Total pH (Lab),8.35,pH,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Calcium,81,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Magnesium,31.6,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Nitrate,0.31,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.004,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Total Phosphorus,0.059,mg/L,WCMP,6/12/2007,Actual,,,
,,,,,,Total Conductivity (Field),779,umhos/cm      ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Temperature of Water,16.2,° C           ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Magnesium,32,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Turbidity,14,NTU           ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Conductivity (Lab),826,umhos/cm      ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.354,mg N/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Ammonia,0.068,mg N/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Nitrate,0.3,mg N/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.068,mg P/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Sulfate,65,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Suspended Solids,18,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Chloride                                ,66,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,352,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total pH (Lab),8.35,pH            ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.28,mg N/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Organic Carbon,9.8,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Potassium,6.2,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Sodium,38,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),9.9,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Alkalinity,260,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Calcium,88,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,540,mg/L          ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Nitrite,0.055,mg N/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.023,mg P/L        ,WCMP,5/4/2012,Actual,,,
,,,,,,Total Conductivity (Field),723,umhos/cm      ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,500,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.1,mg N/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Sodium,27,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,345,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total pH (Field),8.5,pH            ,WCMP,5/23/2012,Actual,,,
,,,,,,Total pH (Lab),8.52,pH            ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Alkalinity,240,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Magnesium,31,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Nitrate,0.186,mg N/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Organic Carbon,11,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Chloride                                ,49,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Temperature of Water,20.7,° C           ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Calcium,87,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Nitrite,0.011,mg N/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.071,mg P/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Conductivity (Lab),768,umhos/cm      ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.7,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,0.197,mg N/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Ammonia,0.008,mg N/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.005,mg P/L        ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Sulfate,70,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Total Suspended Solids,24,mg/L          ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Turbidity,15,NTU           ,WCMP,5/23/2012,Actual,,,
,,,,,,Total Conductivity (Field),722,umhos/cm      ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.1,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Ammonia,,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.96,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Nitrate,4.8,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Nitrite,0.038,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.03,mg/L,WCMP,5/21/2010,Actual,,,
,,,,,,Total pH (Lab),8.16,pH            ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Temperature of Water,18.4,° C           ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Organic Carbon,10,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Total Suspended Solids,19,mg/L          ,WCMP,5/21/2010,Actual,,,
,,,,,,Total Chloride                                ,39,mg/L          ,WCMP,5/21/2010,Actual,,,
