Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Magnesium,19.3,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Phosphorus,0.182,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),13,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Hardness, carbonate,266,mg/l,WCTMP,9/1/2005
,,,,,,Total Lead,1.83,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nickel,7.66,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.2,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.94,mg/l,WCTMP,9/1/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.111,mg/l,WCTMP,9/1/2005
,,,,,,Total Potassium,6.7,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),7.6,mg/l,WCTMP,9/1/2005,Actual
,,,,,, Temperature, water,21.2,deg C,WCTMP,9/1/2005
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,161,mg/l,WCTMP,9/1/2005
,,,,,,Total Cadmium,0.045,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Mercury in Water,2.46,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.136,mg/l,WCTMP,9/1/2005
,,,,,,Total pH,7.86,,WCTMP,9/1/2005,Actual
,,,,,,Total Sodium,119,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Zinc,11.7,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,178,mg/l
,,,,,,Total Chloride,192,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,3,mg/l,WCTMP,8/7/2001
,,,,,,Total Potassium,6.9,mg/l,WCTMP,8/7/2001,Actual
,,,,,, Temperature, water,25.2,deg C,WCTMP,8/7/2001
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Total Calcium,80.5,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.98,mg/l,WCTMP,8/7/2001
,,,,,,Total Sodium,102,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Sulfate (SO4) as SO4,41,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),6.2,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Turbidity,5.2,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Hardness, carbonate,289,mg/l,WCTMP,8/7/2001
,,,,,,Total Magnesium,21.3,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.045,mg/l,WCTMP,8/7/2001
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Dissolved Dissolved Solids,690,mg/l,WCTMP,8/7/2001,Calculated
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.016,mg/l,WCTMP,8/7/2001
,,,,,,Total pH,8.49,,WCTMP,8/7/2001,Actual
,,,,,,Total Phosphorus,0.31,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.2,mg/l,WCTMP,8/7/2001
,,,,,,Total Specific conductivity,1061,umho/cm,WCTMP,8/7/2001,Actual
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,8/7/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),14,mg/l,WCTMP,8/7/2001,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.7,mg/l,WCTMP,8/6/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.028,mg/l,WCTMP,8/6/1998
,,,,,, Temperature, water,21.6,deg C,WCTMP,8/6/1998
,,,,,,Total Hardness, carbonate,58,mg/l,WCTMP,8/6/1998
,,,,,,Total Magnesium,2.8,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,2.6,mg/l,WCTMP,8/6/1998
,,,,,,Total Phosphorus,0.87,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Specific conductivity,228,umho/cm,WCTMP,8/6/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,10,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Dissolved Dissolved Solids,108,mg/l,WCTMP,8/6/1998,Calculated
,,,,,,Total Chromium,32.739,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nickel,25.867,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total pH,7.98,,WCTMP,8/6/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.095,mg/l,WCTMP,8/6/1998
,,,,,,Total Total Suspended Solids (TSS),470,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Cadmium,1.207,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Calcium,18.6,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Chloride,25,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Copper,40.575,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Lead,50.766,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Mercury,106.875,ng/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.3,mg/l,WCTMP,8/6/1998
,,,,,,Total Total Organic Carbon (TOC),13,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Zinc,222.879,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Conductivity (Field),1010,umhos/cm,WCMP,8/5/2009,Actual
,,,,,,Total Conductivity (Lab),1020,umhos/cm,WCMP,8/5/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),8.3,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Alkalinity,206,mg CaCO3/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Ammonia,,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Potassium,4.9,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Turbidity,6.1,NTU,WCMP,8/5/2009,Actual
,,,,,,Total Temperature of Water,22.1,C,WCMP,8/5/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.78,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Nitrate,3,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Nitrite,0.031,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Sulfate,32,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,8/5/2009,Actual
,,,,,,Total Total Dissolved Solids,660,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Organic Carbon,6.5,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Hardness Ca2CO3,283,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total pH (Lab),8.25,pH,WCMP,8/5/2009,Actual
,,,,,,Total Total Calcium,75.2,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Magnesium,23.1,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.093,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Phosphorus,0.138,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Sodium,97.9,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Suspended Solids,6,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Chromium,0.72,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Hardness, carbonate,275,mg/l,WCTMP,8/30/2000
,,,,,,Total Lead,0.655,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total pH,8.18,,WCTMP,8/30/2000,Actual
,,,,,,Total Phosphorus,0.118,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Dissolved Dissolved Solids,590,mg/l,WCTMP,8/30/2000,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,186,mg/l
,,,,,,Total Magnesium,21.6,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.048,mg/l,WCTMP,8/30/2000
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.02,mg/l,WCTMP,8/30/2000
,,,,,,Total Specific conductivity,907,umho/cm,WCTMP,8/30/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),*Present <QL,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Turbidity,5.2,mg/l,WCTMP,8/30/2000,Actual
,,,,,, Temperature, water,22.8,deg C,WCTMP,8/30/2000
,,,,,,Total Cadmium,0.03,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Copper,3.46,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Mercury,1.47,ng/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.75,mg/l,WCTMP,8/30/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.45,mg/l,WCTMP,8/30/2000
,,,,,,Total Phosphorus, orthophosphate as P,0.07,mg/l,WCTMP,8/30/2000
,,,,,,Total Total Organic Carbon (TOC),5.9,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Zinc,11.1,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Calcium,73.5,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Chloride,138,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nickel,4.09,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Sulfate (SO4) as SO4,36,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Chloride,54,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Magnesium,11.8,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Mercury,12.26,ng/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.32,mg/l,WCTMP,8/3/2000
,,,,,,Total pH,7.64,,WCTMP,8/3/2000,Actual
,,,,,,Total Specific conductivity,494,umho/cm,WCTMP,8/3/2000,Actual
,,,,,,Total Turbidity,85,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,121,mg/l
,,,,,,Total Chromium,3.36,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Copper,6.23,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Hardness, carbonate,167,mg/l,WCTMP,8/3/2000
,,,,,,Total Nickel,4.71,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Phosphorus,0.24,mg/l,WCTMP,8/3/2000,Actual
,,,,,, Temperature, water,21.3,deg C,WCTMP,8/3/2000
,,,,,,Dissolved Dissolved Solids,320,mg/l,WCTMP,8/3/2000,Calculated
,,,,,,Total Calcium,47.5,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.053,mg/l,WCTMP,8/3/2000
,,,,,,Total Sodium,28.1,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Total Organic Carbon (TOC),10,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Cadmium,0.1,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Lead,4.07,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.15,mg/l,WCTMP,8/3/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.04,mg/l,WCTMP,8/3/2000
,,,,,,Total Phosphorus, orthophosphate as P,0.151,mg/l,WCTMP,8/3/2000
,,,,,,Total Potassium,5.1,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Sulfate (SO4) as SO4,20,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),65,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Zinc,19.1,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Chloride                                ,170,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Dissolved Solids,690,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.88,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Conductivity (Lab),1056,umhos/cm      ,WCMP,8/29/2012,Actual
,,,,,,Total Hardness Ca2CO3,272,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,2.77,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Temperature of Water,23.6,° C           ,WCMP,8/29/2012,Actual
,,,,,,Total Total Ammonia,0.026,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Nitrate,2.74,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Sodium,110,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Conductivity (Field),1033,umhos/cm      ,WCMP,8/29/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),7,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,8/29/2012,Actual
,,,,,,Total pH (Lab),8.09,pH            ,WCMP,8/29/2012,Actual
,,,,,,Total Total Alkalinity,180,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Nitrite,0.027,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.122,mg P/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Potassium,5.8,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Sulfate,38,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Turbidity,8.49,NTU           ,WCMP,8/29/2012,Actual
,,,,,,Total Total Calcium,71,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Magnesium,23,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Organic Carbon,6.1,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.162,mg P/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Suspended Solids,18,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Conductivity (Field),985,umhos/cm,WCMP,8/28/2007,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,8/28/2007,Actual
,,,,,,Total Total Dissolved Solids,610,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Nitrite,0.028,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Potassium,4.7,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Sodium,89.8,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Suspended Solids,17,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),7.2,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total pH (Lab),7.81,pH,WCMP,8/28/2007,Actual
,,,,,,Total Temperature of Water,21.2,C,WCMP,8/28/2007,Actual
,,,,,,Total Total Calcium,69.6,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Ammonia,0.102,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Magnesium,18.7,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Nitrate,1.67,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.074,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Phosphorus,0.142,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Conductivity (Lab),945,umhos/cm,WCMP,8/28/2007,Actual
,,,,,,Total Hardness Ca2CO3,251,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Alkalinity,176,mg CaCO3/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.87,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Organic Carbon,6.8,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Total Sulfate,43,mg/L,WCMP,8/28/2007,Actual
,,,,,,Total Turbidity,18,NTU,WCMP,8/28/2007,Actual
,,,,,,Total Chlordane,0.699,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total DDT,0.982,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-136,0.02918471,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-171/202,0.0153,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-18,0.1016433,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-183,0.0367,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-193,0.0106,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-24/27,0.018819106,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-44,0.145319729,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-83,0.015296814,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-84/92,0.149043295,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-91,0.04428025,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Phosphorus,0.152,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Specific conductivity,763,umho/cm,WCTMP,8/27/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),7.9,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.99,mg/l,WCTMP,8/27/1998
,,,,,,Total Pcb-118,0.0815,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-16/32,0.211941377,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-167,0.0104,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-178,0.0193,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-182/187,0.0654,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-194,0.0298,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-22,0.074370692,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-28/31,0.322943912,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-40,0.033210187,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-41/64/71,0.137470048,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-46,0.020429297,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-5/8,0.409994858,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-63,0.006943948,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-66,0.143709538,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-77/110,0.244044558,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-85,0.03310955,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-89,0.00623949,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-97,0.034921015,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-99,0.053941395,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,37,mg/l,WCTMP,8/27/1998,Actual
,,,,,, Temperature, water,23,deg C,WCTMP,8/27/1998
,,,,,,Dissolved Dissolved Solids,496,mg/l,WCTMP,8/27/1998,Calculated
,,,,,,Total Chromium,2.772,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Copper,3.13,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Hardness, carbonate,210,mg/l,WCTMP,8/27/1998
,,,,,,Total Mercury,2.601,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nickel,7.41,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-135/144,0.047,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-138/163,0.2694,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-141,0.0432,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-151,0.0506,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-170/190,0.0674,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-174,0.0642,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-177,0.0427,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-180,0.151,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-19,0.024555411,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-195/208,0.0134,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-196/203,0.0564,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-198,0,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-199,0.0043,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-201,0.0526,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-206,0.0121,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-207,0,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-33,0.067326107,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-4/10,0.141898073,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-45,0.03049299,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-47/48,0.071049673,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-51,0.021133756,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-70/76,0.090774512,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-82,0.017,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-87,0.061589802,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total pH,8.05,,WCTMP,8/27/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),14,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Zinc,8.383,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Cadmium,0.037,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Calcium,57.7,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Chloride,99,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Lead,1.139,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Magnesium,16.4,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.1,mg/l,WCTMP,8/27/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2.8,mg/l,WCTMP,8/27/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.042,mg/l,WCTMP,8/27/1998
,,,,,,Total Pcb-101,0.151357944,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-123/149,0.1365,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-128,0.0394,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-132/153,0.2452,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-137/176,0.004,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-146,0.0415,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-15/17,0.220898064,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-158,0.0322,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-172,0.015,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-185,0.006,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-37/42,0.095605085,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-49,0.101542664,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-52,0.335221618,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-53,0.045789804,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-56+60,0.074370692,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-6,0.043978339,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-7/9,0.020429297,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-74,0.035122289,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Pcb-95,0.207211441,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.085,mg/l,WCTMP,8/27/1998
,,,,,,Total Polychlorinated biphenyls (PCBs),5.75730463,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nitrate + Nitrite,2.997273,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total pH (Lab),8.05,pH,WCMP,8/26/2013,Actual
,,,,,,Total Total Organic Carbon,5.6,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.095963,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Suspended Solids,7,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Turbidity,5.47,NTU,WCMP,8/26/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),7.3,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Temperature of Water,23.1,° C,WCMP,8/26/2013,Actual
,,,,,,Total Total Alkalinity,193.3074,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Ammonia,0.042264,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Potassium,5.207,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Chloride,172.6873,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Conductivity (Lab),1187,umhos/cm,WCMP,8/26/2013,Actual
,,,,,,Total pH (Field),8.1,pH,WCMP,8/26/2013,Actual
,,,,,,Total Total Calcium,73.9,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.7053,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Conductivity (Field),1085,umhos/cm,WCMP,8/26/2013,Actual
,,,,,,Total Total Magnesium,23.45,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Nitrite,0.033252,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Phosphorus,0.128,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Sodium,108.2,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Total Sulfate,43.55362,mg/L,WCMP,8/26/2013,Actual
,,,,,,Total Cadmium,0.05,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Chloride,190,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total pH,8.07,,WCTMP,8/24/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.133,mg/l,WCTMP,8/24/2004
,,,,,,Total Sulfate (SO4) as SO4,45,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Turbidity,11,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Dissolved Dissolved Solids,700,mg/l,WCTMP,8/24/2004,Calculated
,,,,,,Total Copper,3.83,ug/l,WCTMP,8/24/2004,Actual
,,,,,,Total Magnesium,23.8,mg/l,WCTMP,8/24/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.92,mg/l,WCTMP,8/24/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,3.16,mg/l,WCTMP,8/24/2004
