Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Phosphorus,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Potassium,7.3,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Specific conductance,463,umho/cm,WCTMP,9/1/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,23,mg/l,WCTMP,9/1/2005
,,,,,,Total Total Organic Carbon (TOC),*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),2.4,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Turbidity,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),*Non-detect,mg/l,WCTMP,9/1/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),84,mg/l,WCTMP,9/1/2005
,,,,,,Total Calcium,38,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Copper,2.57,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Hardness, carbonate,131,mg/l,WCTMP,9/1/2005
,,,,,,Total Magnesium,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Magnesium,9.6,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Magnesium,9.7,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nickel,2.24,ug/l,WCTMP,9/1/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.02,mg/l,WCTMP,9/1/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.56,mg/l,WCTMP,9/1/2005
,,,,,,Total pH,7.78,,WCTMP,9/1/2005,Actual
,,,,,,Total pH,Interference,,WCTMP,9/1/2005,Actual
,,,,,,Total Phosphorus,0.063,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Potassium,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Sodium,*Non-detect,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Sodium,32.9,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Sodium,33.3,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Specific conductance,1,umho/cm,WCTMP,9/1/2005,Actual
,,,,,,Total Specific conductance,462,umho/cm,WCTMP,9/1/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,22,mg/l,WCTMP,9/1/2005
,,,,,,Total Total Suspended Solids (TSS),10,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),8,mg/l,WCTMP,9/1/2005,Actual
,,,,,,Total Chloride,65,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Mercury,29.584,ng/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nickel,12.157,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Specific conductivity,461,umho/cm,WCTMP,8/6/1998,Actual
,,,,,,Total Copper,12.698,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Hardness, carbonate,115,mg/l,WCTMP,8/6/1998
,,,,,,Total Lead,12.356,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total pH,7.46,,WCTMP,8/6/1998,Actual
,,,,,,Total Phosphorus,0.42,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.035,mg/l,WCTMP,8/6/1998
,,,,,,Total Sulfate (SO4) as SO4,23,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Zinc,59.668,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Calcium,33.6,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Chromium,10.118,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Magnesium,7.6,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.99,mg/l,WCTMP,8/6/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.94,mg/l,WCTMP,8/6/1998
,,,,,, Temperature, water,23.4,deg C,WCTMP,8/6/1998
,,,,,,Dissolved Dissolved Solids,240,mg/l,WCTMP,8/6/1998,Calculated
,,,,,,Total Cadmium,0.32,ug/l,WCTMP,8/6/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.45,mg/l,WCTMP,8/6/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.055,mg/l,WCTMP,8/6/1998
,,,,,,Total Total Organic Carbon (TOC),8,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),130,mg/l,WCTMP,8/6/1998,Actual
,,,,,,Total Conductivity (Field),442,umhos/cm,WCMP,8/5/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),7.1,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Hardness Ca2CO3,151,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total pH (Lab),8.18,pH,WCMP,8/5/2009,Actual
,,,,,,Total Total Calcium,42.7,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.45,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Magnesium,10.7,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Nitrite,0.017,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Organic Carbon,3.4,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Sodium,38.9,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Suspended Solids,11,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Conductivity (Lab),467,umhos/cm,WCMP,8/5/2009,Actual
,,,,,,Total pH (Field),7.6,pH,WCMP,8/5/2009,Actual
,,,,,,Total Temperature of Water,26.2,C,WCMP,8/5/2009,Actual
,,,,,,Total Total Alkalinity,90,mg CaCO3/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Dissolved Solids,300,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Potassium,3.8,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Turbidity,7.4,NTU,WCMP,8/5/2009,Actual
,,,,,,Total Total Ammonia,0.121,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Nitrate,0.73,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.028,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Phosphorus,0.062,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Total Sulfate,24,mg/L,WCMP,8/5/2009,Actual
,,,,,,Total Copper,2.75,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Mercury,0.96,ng/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.65,mg/l,WCTMP,8/30/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.66,mg/l,WCTMP,8/30/2000
,,,,,,Total pH,7.78,,WCTMP,8/30/2000,Actual
,,,,,,Total Sulfate (SO4) as SO4,23,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Zinc,12.1,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Dissolved Dissolved Solids,350,mg/l,WCTMP,8/30/2000,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,97,mg/l
,,,,,,Total Calcium,43.9,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Hardness, carbonate,150,mg/l,WCTMP,8/30/2000
,,,,,,Total Magnesium,9.9,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nickel,2.14,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Phosphorus,0.082,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.035,mg/l,WCTMP,8/30/2000
,,,,,,Total Specific conductivity,532,umho/cm,WCTMP,8/30/2000,Actual
,,,,,,Total Cadmium,0.03,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Lead,1.11,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,8/30/2000
,,,,,,Total Turbidity,7.5,mg/l,WCTMP,8/30/2000,Actual
,,,,,, Temperature, water,25.8,deg C,WCTMP,8/30/2000
,,,,,,Total Chloride,76,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Chromium,0.84,ug/l,WCTMP,8/30/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.142,mg/l,WCTMP,8/30/2000
,,,,,,Total Total Organic Carbon (TOC),5.1,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),6,mg/l,WCTMP,8/30/2000,Actual
,,,,,,Dissolved Dissolved Solids,330,mg/l,WCTMP,8/3/2000,Calculated
,,,,,,Total Cadmium,0.16,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Calcium,40.8,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Chloride,76,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Magnesium,8.4,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total pH,7.5,,WCTMP,8/3/2000,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.079,mg/l,WCTMP,8/3/2000
,,,,,,Total Sodium,41,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Specific conductivity,509,umho/cm,WCTMP,8/3/2000,Actual
,,,,,,Total Total Organic Carbon (TOC),6.3,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),53,mg/l,WCTMP,8/3/2000,Actual
,,,,,, Temperature, water,23.3,deg C,WCTMP,8/3/2000
,,,,,,Total Copper,7.21,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.31,mg/l,WCTMP,8/3/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.61,mg/l,WCTMP,8/3/2000
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.039,mg/l,WCTMP,8/3/2000
,,,,,,Total Phosphorus,0.195,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Potassium,5.3,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Hardness, carbonate,137,mg/l,WCTMP,8/3/2000
,,,,,,Total Turbidity,52,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,92,mg/l
,,,,,,Total Chromium,4.38,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Lead,7.09,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Mercury,15.2,ng/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nickel,4.44,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.18,mg/l,WCTMP,8/3/2000
,,,,,,Total Sulfate (SO4) as SO4,22,mg/l,WCTMP,8/3/2000,Actual
,,,,,,Total Zinc,28.8,ug/l,WCTMP,8/3/2000,Actual
,,,,,,Total Chloride                                ,69,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Hardness Ca2CO3,148,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Temperature of Water,27.1,° C           ,WCMP,8/29/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.95,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total pH (Field),7.8,pH            ,WCMP,8/29/2012,Actual
,,,,,,Total Total Dissolved Solids,320,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Nitrate,0.92,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Nitrite,0.032,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Organic Carbon,3.1,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Sulfate,27,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Turbidity,28.4,NTU           ,WCMP,8/29/2012,Actual
,,,,,,Total pH (Lab),7.81,pH            ,WCMP,8/29/2012,Actual
,,,,,,Total Total Alkalinity,86,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Ammonia,0.288,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Magnesium,11,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.056,mg P/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.104,mg P/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Sodium,37,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Conductivity (Field),464,umhos/cm      ,WCMP,8/29/2012,Actual
,,,,,,Total Conductivity (Lab),493,umhos/cm      ,WCMP,8/29/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),5,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Calcium,41,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.84,mg N/L        ,WCMP,8/29/2012,Actual
,,,,,,Total Total Potassium,9.7,mg/L          ,WCMP,8/29/2012,Actual
,,,,,,Total Total Suspended Solids,32,mg/L          ,WCMP,8/29/2012,Actual
,,,,,, Temperature, water,26,deg C,WCTMP,8/29/2002
,,,,,,Dissolved Dissolved Solids,220,mg/l,WCTMP,8/29/2002,Calculated
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Chromium,0.883,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Hardness, carbonate,78,mg/l,WCTMP,8/29/2002
,,,,,,Total Nickel,1.62,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.34,mg/l,WCTMP,8/29/2002
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.012,mg/l,WCTMP,8/29/2002
,,,,,,Total Phosphorus,0.042,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.016,mg/l,WCTMP,8/29/2002
,,,,,,Total Total Organic Carbon (TOC),2.6,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,83,mg/l
,,,,,,Total Cadmium,0.032,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Magnesium,*Present <QL,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Mercury,2.17,ng/l,WCTMP,8/29/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.053,mg/l,WCTMP,8/29/2002
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Potassium,2.7,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Sulfide,*Present <QL,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),9,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Chloride,31,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Lead,1.46,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.47,mg/l,WCTMP,8/29/2002
,,,,,,Total pH,8.24,,WCTMP,8/29/2002,Actual
,,,,,,Total Sodium,18.1,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Sulfate (SO4) as SO4,21,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Turbidity,7.9,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Calcium,31.3,mg/l,WCTMP,8/29/2002,Actual
,,,,,,Total Copper,2.34,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Specific conductivity,334,umho/cm,WCTMP,8/29/2002,Actual
,,,,,,Total Zinc,6.12,ug/l,WCTMP,8/29/2002,Actual
,,,,,,Total Chromium,2.428,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.6,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Magnesium,10,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.62,mg/l,WCTMP,8/27/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.62,mg/l,WCTMP,8/27/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.029,mg/l,WCTMP,8/27/1998
,,,,,,Total Total Suspended Solids (TSS),11,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Specific conductivity,453,umho/cm,WCTMP,8/27/1998,Actual
,,,,,,Dissolved Dissolved Solids,294,mg/l,WCTMP,8/27/1998,Calculated
,,,,,,Total Cadmium,0.061,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Copper,3.482,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.126,mg/l,WCTMP,8/27/1998
,,,,,,Total Phosphorus,0.084,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,20,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),4.2,mg/l,WCTMP,8/27/1998,Actual
,,,,,, Temperature, water,26.9,deg C,WCTMP,8/27/1998
,,,,,,Total Calcium,38.2,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Chloride,56,mg/l,WCTMP,8/27/1998,Actual
,,,,,,Total Hardness, carbonate,137,mg/l,WCTMP,8/27/1998
,,,,,,Total Lead,2.175,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Mercury,4.284,ng/l,WCTMP,8/27/1998,Actual
,,,,,,Total Nickel,2.989,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total pH,7.74,,WCTMP,8/27/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.018,mg/l,WCTMP,8/27/1998
,,,,,,Total Zinc,10.607,ug/l,WCTMP,8/27/1998,Actual
,,,,,,Total Conductivity (Field),441,umhos/cm,WCMP,8/24/2006,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,8/24/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.44,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Potassium,8.6,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Sodium,30.3,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Turbidity,8.7,NTU,WCMP,8/24/2006,Actual
,,,,,,Total Total Alkalinity,79,mg CaCO3/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Ammonia,0.138,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Calcium,37.1,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Nitrate,0.57,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Nitrite,0.017,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Organic Carbon,3.7,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.015,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Hardness Ca2CO3,133,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total pH (Lab),8.03,pH,WCMP,8/24/2006,Actual
,,,,,,Total Total Dissolved Solids,300,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Magnesium,9.8,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Phosphorus,0.049,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Sulfate,22,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Total Suspended Solids,8,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Conductivity (Lab),455,umhos/cm,WCMP,8/24/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),5.3,mg/L,WCMP,8/24/2006,Actual
,,,,,,Total Temperature of Water,26.6,C,WCMP,8/24/2006,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.93,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Alkalinity,85,mg CaCO3/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Ammonia,0.25,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Calcium,39.1,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Magnesium,9.9,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Nitrite,0.021,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Suspended Solids,15,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Chloride                                ,68,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total pH (Lab),7.81,pH            ,WCMP,8/23/2010,Actual
,,,,,,Total Temperature of Water,27.2,° C           ,WCMP,8/23/2010,Actual
,,,,,,Total Total Dissolved Solids,310,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Organic Carbon,2.6,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Conductivity (Lab),472,umhos/cm      ,WCMP,8/23/2010,Actual
,,,,,,Total Hardness Ca2CO3,138,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total pH (Field),7.8,pH            ,WCMP,8/23/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.6,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Nitrate,0.91,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.048,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.086,mg/L,WCMP,8/23/2010,Actual
,,,,,,Total Total Sodium,33.1,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Turbidity                               ,10,NTU           ,WCMP,8/23/2010,Actual
,,,,,,Total Conductivity (Field),475,umhos/cm      ,WCMP,8/23/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),4.7,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Potassium,7.1,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Total Sulfate,24,mg/L          ,WCMP,8/23/2010,Actual
,,,,,,Total Nitrate + Nitrite,0.784323,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Temperature of Water,23.9,° C,WCMP,8/20/2013,Actual
,,,,,,Total Total Calcium,40.44,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Magnesium,11.25,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Suspended Solids,14,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Conductivity (Field),518,umhos/cm,WCMP,8/20/2013,Actual
,,,,,,Total pH (Lab),8.39,pH,WCMP,8/20/2013,Actual
,,,,,,Total Total Ammonia,0.028232,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Organic Carbon,3.3,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Phosphorus,0.0496,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Sodium,41.41,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Turbidity,8.12,NTU,WCMP,8/20/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),7.5,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total pH (Field),8.1,pH,WCMP,8/20/2013,Actual
,,,,,,Total Total Potassium,6.467,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Chloride,72.97451,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Conductivity (Lab),543,umhos/cm,WCMP,8/20/2013,Actual
,,,,,,Total Total Alkalinity,95.28481,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.4378,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Nitrite,0.02567,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.0172,mg/L,WCMP,8/20/2013,Actual
,,,,,,Total Total Sulfate,30.67938,mg/L,WCMP,8/20/2013,Actual
,,,,,, Temperature, water,28,deg C,WCTMP,8/20/2003
,,,,,,Total Cadmium,0.021,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Chloride,41,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Chromium,0.667,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total m & p Xylene mix,*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Nickel,1.48,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.023,mg/l,WCTMP,8/20/2003
,,,,,,Total Specific conductivity,348,umho/cm,WCTMP,8/20/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,16,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),3.1,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Dissolved Dissolved Solids,230,mg/l,WCTMP,8/20/2003,Calculated
,,,,,,Total Calcium,32,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Ethyl benzene,*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Lead,1.38,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.39,mg/l,WCTMP,8/20/2003
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.028,mg/l,WCTMP,8/20/2003
,,,,,,Total Sodium,19.4,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Toluene,*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Zinc,7.29,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,75,mg/l
,,,,,,Total Benzene,*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Copper,2.06,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.117,mg/l,WCTMP,8/20/2003
,,,,,,Total Nitrogen, Kjeldahl,0.5,mg/l,WCTMP,8/20/2003
,,,,,,Total Turbidity,8.8,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Hardness, carbonate,115,mg/l,WCTMP,8/20/2003
,,,,,,Total Magnesium,8.4,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Mercury,2.75,ng/l,WCTMP,8/20/2003,Actual
,,,,,,Total Methyl tertiary butyl ether (MTBE),*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total o-Xylene,*Non-detect,ug/l,WCTMP,8/20/2003,Actual
,,,,,,Total pH,8.22,,WCTMP,8/20/2003,Actual
,,,,,,Total Phosphorus,0.047,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Potassium,5,mg/l,WCTMP,8/20/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),8,mg/l,WCTMP,8/20/2003,Actual
,,,,,, Temperature, water,26.1,deg C,WCTMP,8/20/1998
,,,,,,Dissolved Dissolved Solids,280,mg/l,WCTMP,8/20/1998,Calculated
,,,,,,Total Hardness, carbonate,133,mg/l,WCTMP,8/20/1998
,,,,,,Total Magnesium,9.4,mg/l,WCTMP,8/20/1998,Actual
,,,,,,Total Nickel,3.129,ug/l,WCTMP,8/20/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.51,mg/l,WCTMP,8/20/1998
,,,,,,Total pH,7.74,,WCTMP,8/20/1998,Actual
