#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 11 02 50 202  2.8  3.4  0.00 99.00  0.00 999 1021.4   3.0   2.7 999.0 99.0 99.00
2009 05 11 03 50 209  2.7  3.2  0.00 99.00  0.00 999 1021.3   3.3   2.8 999.0 99.0 99.00
2009 05 11 04 50 216  1.8  2.4  0.00 99.00  0.00 999 1021.2   3.4   2.8 999.0 99.0 99.00
2009 05 11 05 50 218  0.3  0.7  0.00 99.00  0.00 999 1020.7   3.2   2.7 999.0 99.0 99.00
2009 05 11 06 50 225  0.5  0.9  0.02 99.00  5.56 999 1020.9   3.1   2.7 999.0 99.0 99.00
2009 05 11 07 50 292  0.7  1.3  0.00 99.00  0.00 999 1021.1   3.0   2.1 999.0 99.0 99.00
2009 05 11 08 50 320  0.7  0.9  0.00 99.00  0.00 999 1021.4   2.9   2.4 999.0 99.0 99.00
2009 05 11 09 50 249  1.2  1.4  0.00 99.00  0.00 999 1021.6   3.1   2.5 999.0 99.0 99.00
2009 05 11 10 50 264  1.5  1.7  0.00 99.00  0.00 999 1021.8   3.4   2.3 999.0 99.0 99.00
2009 05 11 11 50 267  1.4  1.6  0.00 99.00  0.00 999 1022.2   3.3   1.7 999.0 99.0 99.00
2009 05 11 12 50 275  1.3  1.5  0.00 99.00  4.94 999 1022.4   3.2   2.6 999.0 99.0 99.00
2009 05 11 13 50 241  0.9  1.0  0.00 99.00  5.80 999 1022.5   3.4   2.9 999.0 99.0 99.00
2009 05 11 14 50 256  0.9  1.2  0.00 99.00  4.83 999 1022.4   3.6   3.1 999.0 99.0 99.00
2009 05 11 15 50 282  0.5  0.7  0.00 99.00  4.89 999 1022.4   3.9   3.1 999.0 99.0 99.00
2009 05 11 16 50 283  0.6  0.7  0.00 99.00  5.11 999 1022.2   3.9   3.1 999.0 99.0 99.00
2009 05 11 17 50 180  0.0  0.1  0.01 99.00  4.19 999 1022.0   5.2   3.2 999.0 99.0 99.00
2009 05 11 18 50 136  1.1  1.4  0.05 99.00  4.27 999 1022.0   3.6   3.2 999.0 99.0 99.00
2009 05 11 19 50 141  1.4  1.5  0.07 99.00  4.53 999 1021.8   3.7   3.2 999.0 99.0 99.00
2009 05 11 20 50 121  0.8  1.0  0.08 99.00  3.93 999 1021.8   3.5   3.3 999.0 99.0 99.00
2009 05 11 21 50 114  1.9  2.2  0.07 99.00  4.31 999 1021.5   3.3   3.2 999.0 99.0 99.00
2009 05 11 22 50 115  2.3  2.5  0.07 99.00  4.18 999 1021.6   3.3   3.2 999.0 99.0 99.00
2009 05 11 23 50 257  0.1  0.2  0.08 99.00  4.37 999 1021.8   3.6   3.1 999.0 99.0 99.00
2009 05 12 00 50 265  0.4  0.6  0.08 99.00  4.83 999 1021.8   2.9   2.8 999.0 99.0 99.00
2009 05 12 01 50 242  0.8  1.5  0.09 99.00  3.93 999 1021.9   2.7   2.3 999.0 99.0 99.00
2009 05 12 02 50 315  0.8  1.2  0.18 99.00  3.35 999 1022.2   2.6   1.5 999.0 99.0 99.00
2009 05 12 03 50 265  1.8  2.1  0.19 99.00  3.40 999 1022.1   2.9   2.2 999.0 99.0 99.00
2009 05 12 04 50 213  1.2  1.5  0.15 99.00  3.14 999 1022.3   3.1   2.6 999.0 99.0 99.00
2009 05 12 05 50 221  0.5  1.2  0.14 99.00  3.16 999 1022.7   3.0   2.6 999.0 99.0 99.00
2009 05 12 06 50 141  1.4  2.0  0.14 99.00  3.63 999 1022.7   2.3   2.6 999.0 99.0 99.00
2009 05 12 07 50 152  1.2  1.5  0.00 99.00  0.00 999 1022.8   2.4   2.7 999.0 99.0 99.00
2009 05 12 08 50 196  1.8  2.1  0.09 99.00  3.12 999 1023.5   2.3   2.4 999.0 99.0 99.00
2009 05 12 09 50 214  1.2  1.5  0.09 99.00  3.10 999 1024.0   2.4   2.4 999.0 99.0 99.00
2009 05 12 10 50 208  1.8  2.0 99.00 99.00 99.00 999 1024.8   2.6   2.5 999.0 99.0 99.00
2009 05 12 11 50 205  2.1  2.3  0.10 99.00  5.45 999 1025.5   3.3   2.6 999.0 99.0 99.00
2009 05 12 12 50 190  2.3  2.5  0.07 99.00  4.29 999 1025.9   3.6   2.8 999.0 99.0 99.00
2009 05 12 13 50 185  2.2  2.4  0.04 99.00  2.96 999 1026.3   3.8   3.0 999.0 99.0 99.00
2009 05 12 14 50 189  3.1  3.5  0.00 99.00  4.47 999 1026.3   4.0   3.0 999.0 99.0 99.00
2009 05 12 15 50 182  2.8  3.2  0.03 99.00  3.84 999 1026.4   4.3   3.1 999.0 99.0 99.00
2009 05 12 16 50 174  3.5  3.9  0.04 99.00  3.54 999 1026.3   4.5   3.2 999.0 99.0 99.00
2009 05 12 17 50 167  3.2  3.5  0.05 99.00  3.84 999 1025.8   4.5   3.2 999.0 99.0 99.00
2009 05 12 18 50 171  4.5  5.1  0.04 99.00  3.70 999 1025.4   4.8   3.2 999.0 99.0 99.00
2009 05 12 19 50 160  4.7  5.2  0.10 99.00  3.80 999 1025.0   5.4   3.2 999.0 99.0 99.00
2009 05 12 20 50 152  5.1  5.7  0.12 99.00  3.43 999 1024.2   5.8   3.2 999.0 99.0 99.00
2009 05 12 21 50 164  4.8  5.4  0.18 99.00  3.31 999 1023.5   5.8   3.1 999.0 99.0 99.00
2009 05 12 22 50 166  4.2  4.7  0.20 99.00  2.51 999 1023.1   5.9   3.1 999.0 99.0 99.00
2009 05 12 23 50 156  5.0  5.4  0.18 99.00  2.56 999 1022.5   6.1   3.0 999.0 99.0 99.00
2009 05 13 00 50 158  5.2  5.7  0.21 99.00  2.92 999 1021.5   6.0   3.0 999.0 99.0 99.00
2009 05 13 01 50 156  3.8  4.4  0.20 99.00  2.59 999 1022.3   5.4   3.0 999.0 99.0 99.00
2009 05 13 02 50 178  4.2  4.8  0.12 99.00  2.99 999 1023.4   5.2   3.0 999.0 99.0 99.00
2009 05 13 03 50 158  5.2  6.0  0.17 99.00  2.47 999 1023.3   5.0   3.0 999.0 99.0 99.00
2009 05 13 04 50 171  4.2  4.6  0.17 99.00  2.46 999 1023.2   4.5   3.0 999.0 99.0 99.00
2009 05 13 05 50 154  4.0  4.6  0.19 99.00  2.46 999 1022.9   4.8   3.0 999.0 99.0 99.00
2009 05 13 06 50 156  5.6  6.4  0.23 99.00  2.60 999 1022.4   5.4   3.0 999.0 99.0 99.00
2009 05 13 07 50 143  5.4  5.9  0.29  2.60  2.55 190 1022.1   5.1   3.0 999.0 99.0 99.00
2009 05 13 08 50 151  5.5  6.2  0.28  2.47  2.55 177 1022.1   5.3   3.0 999.0 99.0 99.00
2009 05 13 09 50 140  4.9  5.4  0.32  2.86  2.64 182 1022.2   4.7   3.0 999.0 99.0 99.00
2009 05 13 10 50 144  5.1  5.7  0.26  2.86  2.66 162 1021.9   4.9   2.8 999.0 99.0 99.00
2009 05 13 11 50 146  6.0  6.7  0.26  2.74  2.60 180 1021.3   5.2   2.7 999.0 99.0 99.00
2009 05 13 12 50 148  7.8  8.9  0.36  2.86  2.68 166 1020.9   5.9   2.7 999.0 99.0 99.00
2009 05 13 13 50 149  7.1  8.1  0.56  3.03  3.01 159 1020.6   6.1   2.8 999.0 99.0 99.00
2009 05 13 14 50 149  7.1  8.1  0.56  3.57  3.52 156 1019.7   6.0   2.8 999.0 99.0 99.00
2009 05 13 15 50 143  7.0  7.8  0.58  4.00  3.60 173 1019.2   6.3   2.9 999.0 99.0 99.00
2009 05 13 16 50 138  7.6  8.9  0.54  4.00  3.75 166 1017.9   7.0   2.9 999.0 99.0 99.00
2009 05 13 17 50 144  6.7  7.4  0.49  4.17  3.68 168 1017.3   7.2   2.9 999.0 99.0 99.00
2009 05 13 18 50 148  8.3  9.2  0.43  3.85  3.54 160 1015.6   7.8   2.9 999.0 99.0 99.00
2009 05 13 19 50 157  8.0  9.1  0.55  4.00  3.59 166 1014.8   7.6   2.9 999.0 99.0 99.00
2009 05 13 20 50 159 10.7 12.6  0.61  4.17  3.60 171 1013.4   8.6   2.9 999.0 99.0 99.00
2009 05 13 21 50 164 10.6 12.2  0.71  4.35  3.77 170 1013.6   7.8   2.9 999.0 99.0 99.00
2009 05 13 22 50 154  9.3 10.9  0.85  4.55  4.00 171 1012.7   7.2   2.9 999.0 99.0 99.00
2009 05 13 23 50 148 11.0 12.8  0.94  4.55  3.98 177 1010.8   7.4   3.0 999.0 99.0 99.00
2009 05 14 00 50 152 10.1 11.7  0.94  5.00  4.03 173 1011.0   7.1   3.0 999.0 99.0 99.00
2009 05 14 01 50 164  9.1 10.5  1.02  5.26  4.17 178 1010.6   7.0   3.0 999.0 99.0 99.00
2009 05 14 02 50 161 11.0 12.5  0.98  5.00  4.20 168 1008.8   7.6   3.0 999.0 99.0 99.00
2009 05 14 03 50 161 10.5 12.1  1.11  5.26  4.40 176 1008.3   7.5   3.0 999.0 99.0 99.00
2009 05 14 04 50 160 10.7 12.4  1.08  5.26  4.35 182 1006.6   7.3   3.0 999.0 99.0 99.00
2009 05 14 05 50 163 12.2 14.4  1.21  5.26  4.52 175 1005.4   7.8   3.1 999.0 99.0 99.00
2009 05 14 06 50 159 12.0 13.8  1.34  5.88  4.65 182 1003.0   8.0   3.1 999.0 99.0 99.00
2009 05 14 07 50 166 12.0 13.8  1.53  5.88  4.85 167 1001.7   8.1   3.1 999.0 99.0 99.00
2009 05 14 08 50 168 12.9 16.0  1.55  5.88  4.85 171 1000.9   8.2   3.2 999.0 99.0 99.00
2009 05 14 09 50 166 11.4 13.7  2.06  6.25  4.92 169  999.3   8.9   3.2 999.0 99.0 99.00
2009 05 14 10 50 176 13.2 15.3  1.95  5.88  4.92 180  998.8   8.8   3.1 999.0 99.0 99.00
2009 05 14 11 50 181 12.8 14.9  2.08  6.67  5.13 178  999.5   8.2   3.1 999.0 99.0 99.00
2009 05 14 12 50 236 12.7 16.9  1.74  6.25  5.15 192 1001.4   9.9   3.0 999.0 99.0 99.00
2009 05 14 13 50 238 12.3 14.4  1.29  5.88  4.70 196 1003.3   9.4   3.0 999.0 99.0 99.00
2009 05 14 14 50 232  8.7  9.6  1.28  5.88  4.54 196 1005.4   8.2   3.1 999.0 99.0 99.00
2009 05 14 15 50 231 10.4 11.9  1.14  5.56  4.38 228 1007.5   9.5   3.2 999.0 99.0 99.00
2009 05 14 16 50 236  9.2 10.8  1.34  5.56  4.28 227 1009.0   9.4   3.2 999.0 99.0 99.00
2009 05 14 17 50 243  7.3  8.2  1.01  5.26  4.31 260 1010.5   8.6   3.2 999.0 99.0 99.00
2009 05 14 18 50 243  6.8  7.6  0.94  5.26  4.30 266 1012.0   8.6   3.2 999.0 99.0 99.00
2009 05 14 19 50 220  2.7  3.1  0.81  5.00  4.31 266 1013.6   6.8   3.3 999.0 99.0 99.00
2009 05 14 20 50 233  2.4  2.7  0.66  5.26  4.20 281 1014.7   9.0   3.4 999.0 99.0 99.00
2009 05 14 21 50 263  1.0  2.0  0.78  5.26  4.09 277 1015.9   7.8   3.4 999.0 99.0 99.00
