,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
58,2009-12-15,0.113,MILLIGRAM PER LITER,0.0709,MILLIGRAM PER LITER,,,,,0.058,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,6.5,MILLIGRAM PER LITER,,,53.7,MILLIGRAM PER LITER
59,2008-04-15,0.088,MILLIGRAM PER LITER,0.032,MILLIGRAM PER LITER,,,,,0.046,MILLIGRAM PER LITER,0.65,MILLIGRAM PER LITER,5.19,MILLIGRAM PER LITER,,,62.1,MILLIGRAM PER LITER
60,2008-05-22,0.082,MILLIGRAM PER LITER,0.0154,MILLIGRAM PER LITER,,,,,0.032,MILLIGRAM PER LITER,0.66,MILLIGRAM PER LITER,3.14,MILLIGRAM PER LITER,,,92.2,MILLIGRAM PER LITER
61,2008-07-22,0.245,MILLIGRAM PER LITER,0.11,MILLIGRAM PER LITER,,,,,0.092,MILLIGRAM PER LITER,1.25,MILLIGRAM PER LITER,3.16,MILLIGRAM PER LITER,,,59.4,MILLIGRAM PER LITER
62,2008-08-21,0.187,MILLIGRAM PER LITER,0.0602,MILLIGRAM PER LITER,,,,,0.037,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,6.58,MILLIGRAM PER LITER,,,94.6,MILLIGRAM PER LITER
63,2008-09-22,0.21,MILLIGRAM PER LITER,,,,,,,0.018,MILLIGRAM PER LITER,0.94,MILLIGRAM PER LITER,6.43,MILLIGRAM PER LITER,,,75.9,MILLIGRAM PER LITER
64,2008-10-30,0.147,MILLIGRAM PER LITER,0.0492,MILLIGRAM PER LITER,,,,,0.071,MILLIGRAM PER LITER,1.0,MILLIGRAM PER LITER,2.22,MILLIGRAM PER LITER,,,111.0,MILLIGRAM PER LITER
65,2008-12-02,0.176,MILLIGRAM PER LITER,0.0887,MILLIGRAM PER LITER,,,,,0.032,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,5.67,MILLIGRAM PER LITER,,,70.6,MILLIGRAM PER LITER
66,2007-05-15,0.066,MILLIGRAM PER LITER,0.0085,MILLIGRAM PER LITER,,,,,0.041,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,3.99,MILLIGRAM PER LITER,,,84.9,MILLIGRAM PER LITER
67,2007-06-19,0.314,MILLIGRAM PER LITER,0.0271,MILLIGRAM PER LITER,,,,,0.062,MILLIGRAM PER LITER,2.31,MILLIGRAM PER LITER,5.39,MILLIGRAM PER LITER,,,83.2,MILLIGRAM PER LITER
68,2007-07-30,0.236,MILLIGRAM PER LITER,0.191,MILLIGRAM PER LITER,,,,,0.06,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,10.6,MILLIGRAM PER LITER,,,97.0,MILLIGRAM PER LITER
69,2007-09-18,0.331,MILLIGRAM PER LITER,0.288,MILLIGRAM PER LITER,,,,,0.019,MILLIGRAM PER LITER,0.97,MILLIGRAM PER LITER,11.1,MILLIGRAM PER LITER,,,126.0,MILLIGRAM PER LITER
70,2007-11-21,0.159,MILLIGRAM PER LITER,0.0933,MILLIGRAM PER LITER,,,,,0.046,MILLIGRAM PER LITER,0.74,MILLIGRAM PER LITER,7.36,MILLIGRAM PER LITER,,,90.9,MILLIGRAM PER LITER
71,2006-06-29,0.261,MILLIGRAM PER LITER,0.0768,MILLIGRAM PER LITER,,,,,0.042,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,6.89,MILLIGRAM PER LITER,,,63.9,MILLIGRAM PER LITER
72,2006-07-25,0.211,MILLIGRAM PER LITER,0.0834,MILLIGRAM PER LITER,,,,,0.03,MILLIGRAM PER LITER,0.8,MILLIGRAM PER LITER,4.48,MILLIGRAM PER LITER,,,59.5,MILLIGRAM PER LITER
73,2006-08-16,0.205,MILLIGRAM PER LITER,0.114,MILLIGRAM PER LITER,,,,,0.012,MILLIGRAM PER LITER,1.06,MILLIGRAM PER LITER,6.25,MILLIGRAM PER LITER,,,66.0,MILLIGRAM PER LITER
74,2006-09-13,0.925,MILLIGRAM PER LITER,,,,,,,0.044,MILLIGRAM PER LITER,3.12,MILLIGRAM PER LITER,1.37,MILLIGRAM PER LITER,,,39.5,MILLIGRAM PER LITER
75,2006-10-16,0.136,MILLIGRAM PER LITER,0.0805,MILLIGRAM PER LITER,,,,,0.031,MILLIGRAM PER LITER,0.8,MILLIGRAM PER LITER,9.57,MILLIGRAM PER LITER,,,45.4,MILLIGRAM PER LITER
76,2006-10-18,0.518,MILLIGRAM PER LITER,,,,,,,0.045,MILLIGRAM PER LITER,1.53,MILLIGRAM PER LITER,2.83,MILLIGRAM PER LITER,,,24.5,MILLIGRAM PER LITER
77,2006-11-07,0.116,MILLIGRAM PER LITER,,,,,,,,,0.71,MILLIGRAM PER LITER,,,,,48.4,MILLIGRAM PER LITER
78,2005-05-09,0.052,MILLIGRAM PER LITER,0.0122,MILLIGRAM PER LITER,,,,,0.04,MILLIGRAM PER LITER,0.53,MILLIGRAM PER LITER,5.68,MILLIGRAM PER LITER,,,73.3,MILLIGRAM PER LITER
79,2005-06-15,0.316,MILLIGRAM PER LITER,0.117,MILLIGRAM PER LITER,,,,,0.124,MILLIGRAM PER LITER,0.92,MILLIGRAM PER LITER,6.99,MILLIGRAM PER LITER,,,112.0,MILLIGRAM PER LITER
