,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
70,2009-08-24,0.112,MILLIGRAM PER LITER,0.0036,MILLIGRAM PER LITER,,,,,0.026,MILLIGRAM PER LITER,0.86,MILLIGRAM PER LITER,0.156,MILLIGRAM PER LITER,,,142.0,MILLIGRAM PER LITER
71,2009-09-22,0.128,MILLIGRAM PER LITER,0.0383,MILLIGRAM PER LITER,,,,,0.036,MILLIGRAM PER LITER,1.05,MILLIGRAM PER LITER,0.585,MILLIGRAM PER LITER,,,77.2,MILLIGRAM PER LITER
72,2009-10-27,0.082,MILLIGRAM PER LITER,0.0256,MILLIGRAM PER LITER,,,,,0.033,MILLIGRAM PER LITER,0.84,MILLIGRAM PER LITER,0.741,MILLIGRAM PER LITER,,,136.0,MILLIGRAM PER LITER
73,2008-05-06,0.129,MILLIGRAM PER LITER,0.0334,MILLIGRAM PER LITER,,,,,0.053,MILLIGRAM PER LITER,,,1.07,MILLIGRAM PER LITER,,,216.0,MILLIGRAM PER LITER
74,2008-07-28,0.125,MILLIGRAM PER LITER,,,,,,,0.068,MILLIGRAM PER LITER,1.06,MILLIGRAM PER LITER,0.618,MILLIGRAM PER LITER,,,149.0,MILLIGRAM PER LITER
75,2008-08-27,0.105,MILLIGRAM PER LITER,0.0109,MILLIGRAM PER LITER,,,,,0.006,MILLIGRAM PER LITER,0.88,MILLIGRAM PER LITER,0.005,MILLIGRAM PER LITER,,,190.0,MILLIGRAM PER LITER
76,2008-09-29,0.118,MILLIGRAM PER LITER,0.0065,MILLIGRAM PER LITER,,,,,0.039,MILLIGRAM PER LITER,1.58,MILLIGRAM PER LITER,0.765,MILLIGRAM PER LITER,,,226.0,MILLIGRAM PER LITER
77,2008-11-10,0.128,MILLIGRAM PER LITER,0.0569,MILLIGRAM PER LITER,,,,,0.043,MILLIGRAM PER LITER,0.75,MILLIGRAM PER LITER,0.653,MILLIGRAM PER LITER,,,94.6,MILLIGRAM PER LITER
78,2007-05-14,0.106,MILLIGRAM PER LITER,0.0197,MILLIGRAM PER LITER,,,,,0.06,MILLIGRAM PER LITER,1.12,MILLIGRAM PER LITER,1.04,MILLIGRAM PER LITER,,,224.0,MILLIGRAM PER LITER
79,2007-06-19,0.16,MILLIGRAM PER LITER,0.0435,MILLIGRAM PER LITER,,,,,0.03,MILLIGRAM PER LITER,1.22,MILLIGRAM PER LITER,0.275,MILLIGRAM PER LITER,,,145.0,MILLIGRAM PER LITER
