#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 20 00 00 210  9.3 11.3 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 20 01 00 170  6.7  8.2 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2012 10 20 02 00  20  1.5  2.1 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2012 10 20 03 00 150  2.6  4.6 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 20 04 00 140  2.6  3.6 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2012 10 20 05 00 140  3.1  3.6 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 20 06 00 100  4.1  5.1 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2012 10 20 07 00 110  4.1  5.7 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 20 08 00 110  4.6  5.7 99.00 99.00 99.00 999 9999.0   9.6 999.0 999.0 99.0 99.00
2012 10 20 09 00  70  3.1  4.6 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2012 10 20 10 00  60  4.1  5.1 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 20 11 00  60  3.1  4.1 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2012 10 20 12 00  40  2.1  2.6 99.00 99.00 99.00 999 9999.0  10.0 999.0 999.0 99.0 99.00
2012 10 20 13 00  20  0.5  1.5 99.00 99.00 99.00 999 9999.0   9.6 999.0 999.0 99.0 99.00
2012 10 20 14 00 330  0.0  0.5 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2012 10 20 15 00  50  3.1  4.1 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2012 10 20 16 00 360  1.0  2.6 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
